Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Internal Parameter 1,Internal Parameter 2
Europe,Bulgaria,None,2020-03-20,1.984,0.846995497980291,-4.752258867160651,0.6709567454695554,0.0795189214240455,0.06453575913057286,0.06978993810903425,0.6286504745197161
Africa,Burkina Faso,None,2020-03-24,1.881,1.114322410933963,-191.54867213475575,0.23264730289927524,0.4917300983231051,0.06078501224238639,0.989489013790107,1.1663657202342992
Africa,Cameroon,None,2020-03-29,4.799,1.1218241738263965,-611.1125250588166,0.040039266392132566,0.1100441544570124,0.041674816629038,0.1314923149629819,2.163789148571258
North America,Canada,Alberta,2020-03-19,1.119,7.928942465869993,-0.5847041637739965,10.605758271431162,0.3354422317482535,0.02022058351237993,0.37571231178278053,0.04858846662732627
North America,Canada,British Columbia,2020-03-16,3.29,1.1282872618977624,-28.163221436860503,0.9452282496310292,0.06570235448932588,0.06967549756688025,2.9772242917370932,2.42275561919484
North America,Canada,Manitoba,2020-03-31,1.015,0.7227939177001885,-634.698252847765,0.08298209313515847,0.11658749319029611,0.021317218139151127,0.0025838931433578545,1.0567447731022725
North America,Canada,New Brunswick,2020-04-06,51.174,3.993666263578015,-587.594460163282,0.22010576805368853,0.0012722039666904703,0.00020512713015455027,0.0025148793452677474,0.032435740449155696
North America,Canada,Newfoundland and Labrador,2020-03-27,0.597,0.0059378450576870094,-288.9017976541477,80.64441551509182,0.19691754928776437,0.011629795150400933,1.0215955684715219,0.534964992589527
North America,Canada,Nova Scotia,2020-03-28,1.657,12.534716277057345,-0.05618604957829043,42.942533446552964,0.041184912219174495,0.06971778062096297,1.062228555889472,0.003289456725629677
North America,Canada,Ontario,2020-03-15,1.545,0.6252349332620504,0.6213425578159453,0.41407202530050563,0.18168719884384255,0.08607467979015992,14.594804672844814,0.017961775875243585
North America,Canada,Quebec,2020-03-19,0.786,0.6468637592721532,0.4104917639300556,0.48274043748190254,0.07031332343634616,0.11004176009428657,17.597703949649524,5.710514339515545
North America,Canada,Saskatchewan,2020-03-28,6.987,1.3699742350239703,-20.461029733552913,1.0738106668587892,0.2852655204339201,0.014993925370760249,0.010144815284618946,0.27768159429227285
South America,Chile,None,2020-03-16,4.739,0.601479372795451,-10.15851677883895,0.0384149490171131,0.6822035790389274,0.012515341936830479,3.442555564880474,1.8110287168946282
South America,Colombia,None,2020-03-19,2.495,0.5476327156115576,-40.644424035240554,0.029120631244978292,2.011859924022936,0.03493440420072024,4.520035512807572,1.3523936948739352
Africa,Congo (Kinshasa),None,2020-04-01,5.415,1.2945540643040145,-140.1801219255587,0.15606056554172604,4.059822924514556,0.022502970137373565,0.9109100110634478,0.43405004576606504
North America,Costa Rica,None,2020-03-21,6.41,0.6437398611254647,-95.50291153066446,0.14945053954613405,0.015567214543903583,0.01749990147580564,0.159322241403495,1.0013563167928672
Africa,Cote d'Ivoire,None,2020-03-27,4.418,0.572534451018274,-157.605848268234,0.052052551756103474,0.7218011728986786,0.011812357873656566,1.8933276908033492,0.5316682778704169
Europe,Croatia,None,2020-03-19,0.914,3.3819530598072074,-8.404556759639448,7.964734429381856,0.04146475292011428,0.05265028062376154,6.376354333906031,0.32546856118365675
North America,Cuba,None,2020-03-28,2.212,2.124582050706753,-5.412446500327805,3.5760339032260813,0.4337074844070073,0.040274163862815224,2.5738911976531385,0.011579658768468682
