prediction_date,n_days_backtest,tuple_area,mape_cases,mape_deaths,mae_cases,mae_deaths,mse_cases,mse_deaths,param_perturbed
2020-07-02,30,"('North America', 'US', 'South Carolina')",64.77,33.938,43790.0,439.935,2157663250.903,278266.194,r_i
2020-07-02,30,"('North America', 'US', 'South Dakota')",18.34,18.085,1464.871,21.258,2450495.968,545.968,r_i
2020-07-02,30,"('North America', 'US', 'Tennessee')",53.683,27.896,42312.161,244.742,2136249031.968,75765.194,r_i
2020-07-02,30,"('North America', 'US', 'Texas')",66.339,37.346,214570.71,1986.484,52797129608.774,5882824.097,r_i
2020-07-02,30,"('North America', 'US', 'Utah')",50.314,24.121,16726.065,61.871,307976846.258,5100.581,r_i
2020-07-02,30,"('North America', 'US', 'Vermont')",19.116,0.17,256.516,0.097,69653.484,0.097,r_i
2020-07-02,30,"('North America', 'US', 'Virginia')",27.977,13.13,21924.452,266.774,548678589.355,79331.419,r_i
2020-07-02,30,"('North America', 'US', 'Washington')",39.292,14.497,18450.161,212.71,390676514.677,49742.129,r_i
2020-07-02,30,"('North America', 'US', 'West Virginia')",47.772,5.157,2419.968,5.484,7036955.645,61.226,r_i
2020-07-02,30,"('North America', 'US', 'Wisconsin')",40.884,9.14,17527.452,79.323,361242623.903,7839.065,r_i
2020-07-02,30,"('North America', 'US', 'Wyoming')",46.257,15.005,1007.742,3.613,1152664.71,16.258,r_i
2020-07-02,30,"('South America', 'Brazil', 'None')",52.99,24.014,1119943.29,19260.71,1376333340166.064,427964970.774,r_i
