region,annealing_selected,annealing_metric,tnc_metric,annealing_max_ape
"('North America', 'US', 'Oregon')",True,5089.332594708902,5154.971877749477,1.3478260869565217
"('North America', 'US', 'Pennsylvania')",True,13554.857509733578,14676.42794914507,2.690909090909091
"('North America', 'US', 'Rhode Island')",True,10032.146752994997,10149.380316153933,0.8041237113402062
"('North America', 'US', 'South Carolina')",False,20179.18380096024,20037.584058821983,2.255813953488372
"('North America', 'US', 'South Dakota')",True,3695.7144672555523,3946.5600885250483,2.033333333333333
"('North America', 'US', 'Tennessee')",True,38155.38261688334,39233.84755405719,2.0
"('North America', 'US', 'Texas')",False,109214.06668465515,107700.86920712769,6.913043478260869
"('North America', 'US', 'Utah')",False,30078.436549199025,20543.75692759725,1.3333333333333333
"('North America', 'US', 'Vermont')",True,755.4969116290144,945.349383998898,0.0
"('North America', 'US', 'Virginia')",True,11910.196094737148,12854.965350973715,1.3905191873589164
"('North America', 'US', 'Washington')",False,17490.182203198892,17211.39552468242,2.008695652173913
"('North America', 'US', 'West Virginia')",True,3577.98711916121,3628.560509495443,0.7666666666666667
"('North America', 'US', 'Wisconsin')",False,66537.73583434237,48908.86782681612,3.6090225563909772
"('North America', 'US', 'Wyoming')",False,4289.517273706516,3242.1861964073432,0.9365079365079365
"('Africa', 'Uganda', 'None')",False,0.0,0.0,0.0
"('Europe', 'Ukraine', 'None')",False,0.0,0.0,0.0
"('Asia', 'United Arab Emirates', 'None')",False,0.0,0.0,0.0
"('Europe', 'United Kingdom', 'None')",False,0.0,0.0,0.0
"('South America', 'Uruguay', 'None')",False,0.0,0.0,0.0
"('Asia', 'Uzbekistan', 'None')",False,0.0,0.0,0.0
"('South America', 'Venezuela', 'None')",False,0.0,0.0,0.0
"('Asia', 'Vietnam', 'None')",False,0.0,0.0,0.0
"('Asia', 'Yemen', 'None')",False,0.0,0.0,0.0
"('Africa', 'Zambia', 'None')",False,0.0,0.0,0.0
"('Africa', 'Zimbabwe', 'None')",False,0.0,0.0,0.0
