Country,Province,Day,1 Week Earlier,Current,Percentage_Decrease
Costa Rica,None,2020-05-17,7,8,12.5
Cote d'Ivoire,None,2020-05-17,19,27,29.6
Croatia,None,2020-05-17,77,102,24.5
Cuba,None,2020-05-17,65,88,26.1
Cyprus,None,2020-05-17,14,17,17.6
Czechia,None,2020-05-17,124,297,58.2
Denmark,None,2020-05-17,231,558,58.6
Djibouti,None,2020-05-17,4,4,0
Dominican Republic,None,2020-05-17,396,500,20.8
Ecuador,None,2020-05-17,1113,2259,50.7
Egypt,None,2020-05-17,573,752,23.8
El Salvador,None,2020-05-17,21,26,19.2
Equatorial Guinea,None,2020-05-17,6,6,0
Estonia,None,2020-05-17,42,65,35.4
Ethiopia,None,2020-05-17,5,5,0
Finland,None,2020-05-17,186,333,44.1
France,None,2020-05-17,5799,27535,78.9
Gabon,None,2020-05-17,11,14,21.4
Georgia,None,2020-05-17,10,12,16.7
Germany,None,2020-05-17,1010,8342,87.9
Ghana,None,2020-05-17,22,33,33.3
Greece,None,2020-05-17,119,164,27.4
Guatemala,None,2020-05-17,27,36,25
Guinea,None,2020-05-17,11,17,35.3
Guinea-Bissau,None,2020-05-17,4,4,0
Haiti,None,2020-05-17,21,23,8.7
Honduras,None,2020-05-17,138,171,19.3
Hungary,None,2020-05-17,132,460,71.3
Iceland,None,2020-05-17,6,11,45.5
India,None,2020-05-17,2326,3218,27.7
Indonesia,None,2020-05-17,943,1339,29.6
Iran,None,2020-05-17,1785,6867,74
Iraq,None,2020-05-17,91,139,34.5
Ireland,None,2020-05-17,321,1687,81
Israel,None,2020-05-17,30,270,88.9
Italy,None,2020-05-17,3275,31430,89.6
Jamaica,None,2020-05-17,9,10,10
Japan,None,2020-05-17,227,768,70.4
Jordan,None,2020-05-17,8,10,20
Kazakhstan,None,2020-05-17,38,44,13.6
Kenya,None,2020-05-17,35,45,22.2
"Korea, South",None,2020-05-17,220,269,18.2
Kosovo,None,2020-05-17,25,32,21.9
Kuwait,None,2020-05-17,78,106,26.4
Latvia,None,2020-05-17,19,20,5
Lebanon,None,2020-05-17,25,28,10.7
Liberia,None,2020-05-17,22,23,4.3
Lithuania,None,2020-05-17,46,55,16.4
Luxembourg,None,2020-05-17,92,104,11.5
Madagascar,None,2020-05-17,0,0,NaN
Malaysia,None,2020-05-17,73,119,38.7
Maldives,None,2020-05-17,3,5,40
Mali,None,2020-05-17,35,50,30
Malta,None,2020-05-17,5,6,16.7
Mauritius,None,2020-05-17,10,10,0
Mexico,None,2020-05-17,3284,5316,38.2
Moldova,None,2020-05-17,134,206,35
Montenegro,None,2020-05-17,9,9,0
Morocco,None,2020-05-17,203,262,22.5
Nepal,None,2020-05-17,1,1,0
Netherlands,None,2020-05-17,688,5727,88
New Zealand,None,2020-05-17,21,24,12.5
Niger,None,2020-05-17,46,53,13.2
Nigeria,None,2020-05-17,137,220,37.7
North Macedonia,None,2020-05-17,56,100,44
Norway,None,2020-05-17,85,241,64.7
Oman,None,2020-05-17,9,22,59.1
Pakistan,None,2020-05-17,1385,1683,17.7
Panama,None,2020-05-17,210,276,23.9
Paraguay,None,2020-05-17,12,15,20
Peru,None,2020-05-17,1296,2708,52.1
Philippines,None,2020-05-17,436,873,50.1
Poland,None,2020-05-17,453,980,53.8
Portugal,None,2020-05-17,395,1210,67.4
Qatar,None,2020-05-17,15,22,31.8
Romania,None,2020-05-17,671,1103,39.2
Russia,None,2020-05-17,1118,2941,62
Rwanda,None,2020-05-17,0,0,NaN
San Marino,None,2020-05-17,40,48,16.7
Sao Tome and Principe,None,2020-05-17,7,8,12.5
Saudi Arabia,None,2020-05-17,244,368,33.7
Senegal,None,2020-05-17,16,27,40.7
Serbia,None,2020-05-17,62,242,74.4
Sierra Leone,None,2020-05-17,29,32,9.4
Singapore,None,2020-05-17,10,30,66.7
Slovakia,None,2020-05-17,21,30,30
Slovenia,None,2020-05-17,86,110,21.8
Somalia,None,2020-05-17,55,67,17.9
South Africa,None,2020-05-17,212,281,24.6
South Sudan,None,2020-05-17,3,3,0
Spain,None,2020-05-17,2638,26822,90.2
Sri Lanka,None,2020-05-17,8,13,38.5
Sudan,None,2020-05-17,89,119,25.2
Sweden,None,2020-05-17,2254,3921,42.5
Switzerland,None,2020-05-17,123,1926,93.6
Tajikistan,None,2020-05-17,33,36,8.3
Tanzania,None,2020-05-17,23,23,0
Thailand,None,2020-05-17,44,58,24.1
Togo,None,2020-05-17,12,13,7.7
Trinidad and Tobago,None,2020-05-17,8,8,0
Tunisia,None,2020-05-17,38,47,19.1
Turkey,None,2020-05-17,1072,4082,73.7
Uganda,None,2020-05-17,1,1,0
Ukraine,None,2020-05-17,247,481,48.6
United Arab Emirates,None,2020-05-17,133,252,47.2
United Kingdom,None,2020-05-17,6173,36957,83.3
Uruguay,None,2020-05-17,19,21,9.5
US,Alabama,2020-05-17,371,492,24.6
US,Alaska,2020-05-17,7,8,12.5
US,Arizona,2020-05-17,550,680,19.1
US,Arkansas,2020-05-17,62,105,41
US,California,2020-05-17,1405,2690,47.8
US,Colorado,2020-05-17,852,1213,29.8
US,Connecticut,2020-05-17,1232,3550,65.3
US,Delaware,2020-05-17,153,282,45.7
US,District of Columbia,2020-05-17,314,423,25.8
US,Florida,2020-05-17,587,1769,66.8
US,Georgia,2020-05-17,954,1629,41.4
US,Hawaii,2020-05-17,15,16,6.2
US,Idaho,2020-05-17,50,56,10.7
US,Illinois,2020-05-17,2466,3588,31.3
US,Indiana,2020-05-17,1207,1886,36
US,Iowa,2020-05-17,255,370,31.1
US,Kansas,2020-05-17,200,260,23.1
US,Kentucky,2020-05-17,313,385,18.7
US,Louisiana,2020-05-17,209,1961,89.3
US,Maine,2020-05-17,66,78,15.4
US,Maryland,2020-05-17,1480,2138,30.8
US,Massachusetts,2020-05-17,1168,6031,80.6
US,Michigan,2020-05-17,2894,4885,40.8
US,Minnesota,2020-05-17,727,887,18
US,Mississippi,2020-05-17,406,514,21
US,Missouri,2020-05-17,380,551,31
US,Montana,2020-05-17,14,14,0
US,Nebraska,2020-05-17,99,136,27.2
US,Nevada,2020-05-17,284,342,17
US,New Hampshire,2020-05-17,150,168,10.7
US,New Jersey,2020-05-17,3689,10814,65.9
US,New Mexico,2020-05-17,203,268,24.3
US,New York,2020-05-17,1570,28418,94.5
US,None,2020-05-17,30901,89951,65.6
US,North Carolina,2020-05-17,754,961,21.5
US,North Dakota,2020-05-17,26,47,44.7
US,Ohio,2020-05-17,859,1634,47.4
US,Oklahoma,2020-05-17,244,313,22
US,Oregon,2020-05-17,123,149,17.4
US,Pennsylvania,2020-05-17,1712,5244,67.4
US,Rhode Island,2020-05-17,141,497,71.6
US,South Carolina,2020-05-17,242,421,42.5
US,South Dakota,2020-05-17,26,45,42.2
US,Tennessee,2020-05-17,220,314,29.9
US,Texas,2020-05-17,695,1367,49.2
US,Utah,2020-05-17,48,68,29.4
US,Vermont,2020-05-17,36,42,14.3
US,Virginia,2020-05-17,816,1189,31.4
US,Washington,2020-05-17,170,440,61.4
US,West Virginia,2020-05-17,44,56,21.4
US,Wisconsin,2020-05-17,404,548,26.3
US,Wyoming,2020-05-17,7,8,12.5
Uzbekistan,None,2020-05-17,7,12,41.7
Venezuela,None,2020-05-17,12,14,14.3
Vietnam,None,2020-05-17,0,0,NaN
Zambia,None,2020-05-17,8,10,20
