Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Total Detected True,Total Detected Deaths True,Total Detected LB,Active LB,Active Hospitalized LB,Cumulative Hospitalized LB,Total Detected Deaths LB,Active Ventilated LB,Total Detected UB,Active UB,Active Hospitalized UB,Cumulative Hospitalized UB,Total Detected Deaths UB,Active Ventilated UB
None,None,None,2020-06-02,94358,16412,3502,14149,7294,569,93904.0,7477.0,94358,16412,3502,14149,7294,569,94358,16412,3502,14149,7294,569
None,None,None,2020-06-03,95055,16035,3439,14253,7366,554,94585.0,7578.0,95055,16035,3439,14253,7366,554,95055,16035,3439,14253,7366,554
None,None,None,2020-06-04,95721,15657,3377,14354,7436,542,95213.0,7716.0,95721,15657,3377,14354,7436,542,95721,15657,3377,14354,7436,542
None,None,None,2020-06-05,96362,15277,3313,14449,7504,528,95891.0,7777.0,96362,15277,3313,14449,7504,528,96362,15277,3313,14449,7504,528
None,None,None,2020-06-06,96977,14897,3247,14543,7570,514,96419.0,7849.0,96977,14897,3247,14543,7570,514,96977,14897,3247,14543,7570,514
None,None,None,2020-06-07,97566,14517,3182,14631,7631,500,97122.0,7876.0,97566,14517,3182,14631,7631,500,97566,14517,3182,14631,7631,500
None,None,None,2020-06-08,98132,14139,3116,14716,7692,486,97723.0,7909.0,98132,14139,3116,14716,7692,486,98132,14139,3116,14716,7692,486
None,None,None,2020-06-09,98672,13764,3051,14797,7750,471,98185.0,7969.0,98672,13764,3051,14797,7750,471,98672,13764,3051,14797,7750,471
None,None,None,2020-06-10,99190,13389,2985,14873,7808,458,98664.0,8037.0,99190,13389,2985,14873,7808,458,99190,13389,2985,14873,7808,458
None,None,None,2020-06-11,99684,13015,2918,14948,7861,445,99103.0,8070.0,99684,13015,2918,14948,7861,445,99684,13015,2918,14948,7861,445
None,None,None,2020-06-12,100158,12646,2850,15019,7912,432,99539.0,8124.0,100158,12646,2850,15019,7912,432,100158,12646,2850,15019,7912,432
None,None,None,2020-06-13,100610,12280,2783,15087,7961,419,99987.0,8182.0,100610,12280,2783,15087,7961,419,100610,12280,2783,15087,7961,419
None,None,None,2020-06-14,101044,11923,2717,15152,8008,406,100348.0,8217.0,101044,11923,2717,15152,8008,406,101044,11923,2717,15152,8008,406
None,None,None,2020-06-15,101458,11567,2651,15213,8054,393,100707.0,8227.0,101458,11567,2651,15213,8054,393,101458,11567,2651,15213,8054,393
None,None,None,2020-06-16,101851,11216,2587,15274,8096,381,101031.0,8270.0,101851,11216,2587,15274,8096,381,101851,11216,2587,15274,8096,381
None,None,None,2020-06-17,102227,10869,2521,15330,8137,368,101435.0,8311.0,102227,10869,2521,15330,8137,368,102227,10869,2521,15330,8137,368
None,None,None,2020-06-18,102584,10526,2456,15384,8178,356,101821.0,8360.0,102584,10526,2456,15384,8178,356,102584,10526,2456,15384,8178,356
None,None,None,2020-06-19,102922,10191,2392,15433,8215,345,102258.0,8407.0,102922,10191,2392,15433,8215,345,102922,10191,2392,15433,8215,345
None,None,None,2020-06-20,103250,9863,2329,15483,8252,333,102706.0,8465.0,103250,9863,2329,15483,8252,333,103250,9863,2329,15483,8252,333
None,None,None,2020-06-21,103569,9549,2267,15530,8285,321,103022.0,8481.0,103569,9549,2267,15530,8285,321,103569,9549,2267,15530,8285,321
None,None,None,2020-06-22,103889,9258,2209,15580,8320,311,103362.0,8493.0,103889,9258,2209,15580,8320,311,103889,9258,2209,15580,8320,311
None,None,None,2020-06-23,104217,8992,2156,15627,8352,301,103711.0,8511.0,104217,8992,2156,15627,8352,301,104217,8992,2156,15627,8352,301
None,None,None,2020-06-24,104556,8755,2105,15677,8382,293,104031.0,8543.0,104556,8755,2105,15677,8382,293,104556,8755,2105,15677,8382,293
None,None,None,2020-06-25,104905,8539,2057,15731,8411,286,104407.0,8566.0,104905,8539,2057,15731,8411,286,104905,8539,2057,15731,8411,286
None,None,None,2020-06-26,105252,8336,2014,15782,8440,279,104573.0,8570.0,105252,8336,2014,15782,8440,279,105252,8336,2014,15782,8440,279
None,None,None,2020-06-27,105593,8140,1970,15835,8467,273,104822.0,8575.0,105593,8140,1970,15835,8467,273,105593,8140,1970,15835,8467,273
None,None,None,2020-06-28,105925,7951,1929,15883,8495,266,105137.0,8581.0,105925,7951,1929,15883,8495,266,105925,7951,1929,15883,8495,266
None,None,None,2020-06-29,106245,7759,1886,15932,8522,258,105774.0,8627.0,106245,7759,1886,15932,8522,258,106245,7759,1886,15932,8522,258
None,None,None,2020-06-30,106557,7572,1843,15979,8547,251,106041.0,8649.0,106557,7572,1843,15979,8547,251,106557,7572,1843,15979,8547,251
None,None,None,2020-07-01,106850,7381,1801,16023,8573,246,106232.0,8677.0,106850,7381,1801,16023,8573,246,106850,7381,1801,16023,8573,246
None,None,None,2020-07-02,107133,7190,1760,16064,8595,239,106587.0,8699.0,107133,7190,1760,16064,8595,239,107133,7190,1760,16064,8595,239
None,None,None,2020-07-03,107402,6997,1718,16106,8619,233,106906.0,8721.0,107402,6997,1718,16106,8619,233,107402,6997,1718,16106,8619,233
None,None,None,2020-07-04,107659,6805,1675,16143,8640,225,107126.0,8731.0,107659,6805,1675,16143,8640,225,107659,6805,1675,16143,8640,225
None,None,None,2020-07-05,107906,6618,1634,16182,8661,220,107333.0,8738.0,107906,6618,1634,16182,8661,220,107906,6618,1634,16182,8661,220
None,None,None,2020-07-06,108143,6430,1594,16215,8680,213,107754.0,8747.0,108143,6430,1594,16215,8680,213,108143,6430,1594,16215,8680,213
None,None,None,2020-07-07,108372,6246,1553,16249,8700,208,107962.0,8764.0,108372,6246,1553,16249,8700,208,108372,6246,1553,16249,8700,208
None,None,None,2020-07-08,108594,6070,1513,16282,8718,201,108273.0,8785.0,108594,6070,1513,16282,8718,201,108594,6070,1513,16282,8718,201
None,None,None,2020-07-09,108814,5903,1476,16317,8735,195,108594.0,8796.0,108814,5903,1476,16317,8735,195,108814,5903,1476,16317,8735,195
None,None,None,2020-07-10,109037,5748,1441,16350,8753,189,108922.0,8810.0,109037,5748,1441,16350,8753,189,109037,5748,1441,16350,8753,189
None,None,None,2020-07-11,109271,5615,1408,16386,8769,184,109088.0,8817.0,109271,5615,1408,16386,8769,184,109271,5615,1408,16386,8769,184
None,None,None,2020-07-12,109525,5510,1381,16424,8785,180,109285.0,8828.0,109525,5510,1381,16424,8785,180,109525,5510,1381,16424,8785,180
None,None,None,2020-07-13,109808,5438,1357,16466,8800,179,109920.0,8835.0,109808,5438,1357,16466,8800,179,109808,5438,1357,16466,8800,179
None,None,None,2020-07-14,110129,5409,1342,16514,8814,179,110285.0,8844.0,110129,5409,1342,16514,8814,179,110129,5409,1342,16514,8814,179
None,None,None,2020-07-15,110491,5422,1334,16569,8828,179,110628.0,8856.0,110491,5422,1334,16569,8828,179,110491,5422,1334,16569,8828,179
None,None,None,2020-07-16,110896,5471,1333,16630,8843,182,111079.0,8874.0,110896,5471,1333,16630,8843,182,110896,5471,1333,16630,8843,182
None,None,None,2020-07-17,111339,5558,1335,16695,8856,185,111492.0,8883.0,111339,5558,1335,16695,8856,185,111339,5558,1335,16695,8856,185
None,None,None,2020-07-18,111816,5670,1343,16766,8871,190,111808.0,8891.0,111816,5670,1343,16766,8871,190,111816,5670,1343,16766,8871,190
None,None,None,2020-07-19,112316,5800,1356,16842,8886,196,112101.0,8895.0,112316,5800,1356,16842,8886,196,112316,5800,1356,16842,8886,196
None,None,None,2020-07-20,112839,5939,1370,16919,8900,201,112871.0,8901.0,112839,5939,1370,16919,8900,201,112839,5939,1370,16919,8900,201
None,None,None,2020-07-21,113371,6081,1384,17001,8916,207,113406.0,8907.0,113371,6081,1384,17001,8916,207,113371,6081,1384,17001,8916,207
None,None,None,2020-07-22,113910,6216,1398,17080,8933,212,113723.0,8912.0,113910,6216,1398,17080,8933,212,113910,6216,1398,17080,8933,212
None,None,None,2020-07-23,114440,6340,1412,17161,8948,216,114331.0,8918.0,114440,6340,1412,17161,8948,216,114440,6340,1412,17161,8948,216
None,None,None,2020-07-24,114962,6442,1424,17239,8966,222,115047.0,8922.0,114962,6442,1424,17239,8966,222,114962,6442,1424,17239,8966,222
None,None,None,2020-07-25,115464,6524,1434,17316,8983,224,115402.0,8928.0,115464,6524,1434,17316,8983,224,115464,6524,1434,17316,8983,224
None,None,None,2020-07-26,115947,6578,1437,17387,9001,226,115721.0,8933.0,115947,6578,1437,17387,9001,226,115947,6578,1437,17387,9001,226
None,None,None,2020-07-27,116409,6610,1439,17457,9018,228,116403.0,8944.0,116409,6610,1439,17457,9018,228,116409,6610,1439,17457,9018,228
None,None,None,2020-07-28,116849,6619,1437,17523,9037,227,116803.0,8956.0,116849,6619,1437,17523,9037,227,116849,6619,1437,17523,9037,227
None,None,None,2020-07-29,117265,6602,1431,17585,9054,228,117289.0,8961.0,117265,6602,1431,17585,9054,228,117265,6602,1431,17585,9054,228
None,None,None,2020-07-30,117659,6568,1424,17645,9071,227,117609.0,8973.0,117659,6568,1424,17645,9071,227,117659,6568,1424,17645,9071,227
None,None,None,2020-07-31,118032,6513,1412,17699,9089,226,118213.0,8979.0,118032,6513,1412,17699,9089,226,118032,6513,1412,17699,9089,226
None,None,None,2020-08-01,118387,6446,1398,17753,9106,223,118455.0,8985.0,118387,6446,1398,17753,9106,223,118387,6446,1398,17753,9106,223
None,None,None,2020-08-02,118723,6365,1383,17804,9124,220,118700.0,8989.0,118723,6365,1383,17804,9124,220,118723,6365,1383,17804,9124,220
None,None,None,2020-08-03,119043,6274,1366,17852,9140,215,118905.0,8994.0,119043,6274,1366,17852,9140,215,119043,6274,1366,17852,9140,215
None,None,None,2020-08-04,119351,6174,1347,17897,9156,213,119591.0,9004.0,119351,6174,1347,17897,9156,213,119351,6174,1347,17897,9156,213
None,None,None,2020-08-05,119645,6071,1330,17942,9172,208,119965.0,9009.0,119645,6071,1330,17942,9172,208,119645,6071,1330,17942,9172,208
None,None,None,2020-08-06,119927,5962,1311,17986,9185,205,120319.0,9012.0,119927,5962,1311,17986,9185,205,119927,5962,1311,17986,9185,205
None,None,None,2020-08-07,120197,5849,1289,18024,9200,201,120834.0,9016.0,120197,5849,1289,18024,9200,201,120197,5849,1289,18024,9200,201
None,None,None,2020-08-08,120457,5733,1268,18064,9215,197,121079.0,9023.0,120457,5733,1268,18064,9215,197,120457,5733,1268,18064,9215,197
None,None,None,2020-08-09,120706,5614,1247,18102,9228,192,121298.0,9027.0,120706,5614,1247,18102,9228,192,120706,5614,1247,18102,9228,192
None,None,None,2020-08-10,120946,5492,1224,18137,9240,186,121984.0,9033.0,120946,5492,1224,18137,9240,186,120946,5492,1224,18137,9240,186
None,None,None,2020-08-11,121173,5369,1202,18170,9253,183,122320.0,9037.0,121173,5369,1202,18170,9253,183,121173,5369,1202,18170,9253,183
None,None,None,2020-08-12,121390,5241,1178,18205,9264,180,122629.0,9051.0,121390,5241,1178,18205,9264,180,121390,5241,1178,18205,9264,180
None,None,None,2020-08-13,121597,5114,1154,18235,9275,175,123106.0,9062.0,121597,5114,1154,18235,9275,175,121597,5114,1154,18235,9275,175
None,None,None,2020-08-14,121795,4984,1130,18263,9286,169,123531.0,9067.0,121795,4984,1130,18263,9286,169,121795,4984,1130,18263,9286,169
None,None,None,2020-08-15,121981,4854,1106,18292,9297,165,123751.0,9071.0,121981,4854,1106,18292,9297,165,121981,4854,1106,18292,9297,165
None,None,None,2020-08-16,122162,4723,1083,18317,9306,160,123930.0,9073.0,122162,4723,1083,18317,9306,160,122162,4723,1083,18317,9306,160
None,None,None,2020-08-17,122330,4593,1057,18345,9316,157,124144.0,9074.0,122330,4593,1057,18345,9316,157,122330,4593,1057,18345,9316,157
None,None,None,2020-08-18,122491,4463,1034,18369,9324,150,125007.0,9089.0,122491,4463,1034,18369,9324,150,122491,4463,1034,18369,9324,150
None,None,None,2020-08-19,122648,4335,1008,18392,9334,146,125331.0,9094.0,122648,4335,1008,18392,9334,146,122648,4335,1008,18392,9334,146
None,None,None,2020-08-20,122794,4206,985,18415,9341,143,125548.0,9096.0,122794,4206,985,18415,9341,143,122794,4206,985,18415,9341,143
None,None,None,2020-08-21,122935,4082,960,18437,9349,138,126242.0,9109.0,122935,4082,960,18437,9349,138,122935,4082,960,18437,9349,138
None,None,None,2020-08-22,123068,3957,936,18456,9357,133,126483.0,9116.0,123068,3957,936,18456,9357,133,123068,3957,936,18456,9357,133
None,None,None,2020-08-23,123198,3833,911,18474,9364,128,126740.0,9118.0,123198,3833,911,18474,9364,128,123198,3833,911,18474,9364,128
None,None,None,2020-08-24,123319,3713,888,18492,9370,124,,,123319,3713,888,18492,9370,124,123319,3713,888,18492,9370,124
None,None,None,2020-08-25,123436,3596,863,18508,9377,120,,,123319,0,0,18492,9370,0,14476971,421750,101215,2170678,528052,14074
None,None,None,2020-08-26,123547,3481,841,18526,9383,115,,,123319,0,0,18492,9370,0,20422512,575415,139019,3062377,742900,19010
None,None,None,2020-08-27,123654,3369,817,18543,9389,111,,,123319,0,0,18492,9370,0,24984707,680718,165078,3746676,907760,22428
None,None,None,2020-08-28,123758,3259,796,18558,9394,108,,,123319,0,0,18492,9370,0,28830829,759221,185437,4323296,1046744,25160
None,None,None,2020-08-29,123855,3154,774,18573,9399,104,,,123319,0,0,18492,9370,0,32219336,820474,201346,4831535,1169192,27054
None,None,None,2020-08-30,123948,3049,752,18587,9404,100,,,123319,0,0,18492,9370,0,35282786,867922,214063,5290938,1279893,28466
None,None,None,2020-08-31,124041,2948,732,18601,9408,97,,,123319,0,0,18492,9370,0,38099926,905496,224838,5713407,1381693,29794
None,None,None,2020-09-01,124126,2851,711,18613,9414,95,,,123319,0,0,18492,9370,0,40722055,935328,233258,6106373,1476448,31167
None,None,None,2020-09-02,124210,2757,691,18626,9417,91,,,123319,0,0,18492,9370,0,43184816,958542,240244,6475810,1565442,31639
None,None,None,2020-09-03,124291,2664,672,18638,9421,88,,,123319,0,0,18492,9370,0,45514156,975531,246080,6825054,1649615,32225
None,None,None,2020-09-04,124369,2575,652,18650,9424,84,,,123319,0,0,18492,9370,0,47729661,988220,250221,7157396,1729674,32237
None,None,None,2020-09-05,124444,2489,634,18661,9429,82,,,123319,0,0,18492,9370,0,49846549,996979,253951,7474739,1806172,32845
None,None,None,2020-09-06,124517,2406,615,18672,9432,79,,,123319,0,0,18492,9370,0,51876925,1002400,256225,7779226,1879541,32913
None,None,None,2020-09-07,124585,2325,597,18682,9435,76,,,123319,0,0,18492,9370,0,53830597,1004584,257951,8072105,1950139,32838
None,None,None,2020-09-08,124652,2247,581,18692,9438,74,,,123319,0,0,18492,9370,0,55715656,1004341,259689,8354756,2018258,33076
None,None,None,2020-09-09,124720,2173,564,18703,9441,72,,,123319,0,0,18492,9370,0,57538862,1002501,260198,8628523,2084141,33217
None,None,None,2020-09-10,124781,2100,547,18712,9445,68,,,123319,0,0,18492,9370,0,59305924,998088,259978,8893441,2147997,32319
None,None,None,2020-09-11,124843,2028,531,18720,9448,66,,,123319,0,0,18492,9370,0,61021737,991262,259546,9150108,2210000,32260
None,None,None,2020-09-12,124901,1962,515,18731,9450,63,,,123319,0,0,18492,9370,0,62690512,984770,258490,9401494,2270302,31621
None,None,None,2020-09-13,124956,1898,499,18738,9452,61,,,123319,0,0,18492,9370,0,64315918,976917,256840,9644608,2329037,31397
None,None,None,2020-09-14,125012,1834,486,18747,9454,60,,,123319,0,0,18492,9370,0,65901175,966809,256199,9882646,2386321,31630
None,None,None,2020-09-15,125065,1774,471,18754,9455,58,,,123319,0,0,18492,9370,0,67449114,956740,254016,10114266,2442256,31280
None,None,None,2020-09-16,125118,1715,457,18762,9458,56,,,123319,0,0,18492,9370,0,68962256,945270,251888,10341197,2496936,30866
None,None,None,2020-09-17,125170,1660,443,18770,9461,53,,,123319,0,0,18492,9370,0,70442846,934210,249310,10563332,2550439,29827
None,None,None,2020-09-18,125217,1607,432,18777,9464,51,,,123319,0,0,18492,9370,0,71892894,922653,248031,10780748,2602839,29281
None,None,None,2020-09-19,125265,1555,419,18785,9466,50,,,123319,0,0,18492,9370,0,73314222,910100,245229,10994353,2654200,29264
