Continent,Country,Province,Day,Total Detected,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths
North America,US,Connecticut,2021-01-12,184085,643,7982,5426
North America,US,Connecticut,2021-01-13,184668,617,8014,5430
North America,US,Connecticut,2021-01-14,185214,591,8045,5433
North America,US,Connecticut,2021-01-15,185725,566,8073,5436
North America,US,Connecticut,2021-01-16,186203,541,8100,5439
North America,US,Connecticut,2021-01-17,186649,517,8125,5442
North America,US,Connecticut,2021-01-18,187064,493,8148,5444
North America,US,Connecticut,2021-01-19,187451,470,8170,5447
North America,US,Connecticut,2021-01-20,187811,447,8190,5449
North America,US,Connecticut,2021-01-21,188145,425,8209,5451
North America,US,Connecticut,2021-01-22,188455,404,8226,5453
North America,US,Connecticut,2021-01-23,188742,384,8242,5454
North America,US,Connecticut,2021-01-24,189007,364,8257,5456
North America,US,Connecticut,2021-01-25,189252,344,8271,5457
North America,US,Connecticut,2021-01-26,189478,326,8284,5459
North America,US,Connecticut,2021-01-27,189686,308,8295,5460
North America,US,Connecticut,2021-01-28,189878,291,8306,5461
North America,US,Connecticut,2021-01-29,190054,275,8316,5462
North America,US,Connecticut,2021-01-30,190216,259,8325,5463
North America,US,Connecticut,2021-01-31,190364,244,8333,5464
North America,US,Connecticut,2021-02-01,190500,229,8341,5465
North America,US,Connecticut,2021-02-02,190625,216,8348,5465
North America,US,Connecticut,2021-02-03,190738,203,8354,5466
North America,US,Connecticut,2021-02-04,190842,190,8360,5467
North America,US,Connecticut,2021-02-05,190937,178,8365,5467
North America,US,Connecticut,2021-02-06,191024,167,8370,5468
North America,US,Connecticut,2021-02-07,191102,156,8374,5468
North America,US,Connecticut,2021-02-08,191174,146,8378,5469
North America,US,Connecticut,2021-02-09,191239,137,8382,5469
North America,US,Connecticut,2021-02-10,191298,128,8385,5469
North America,US,Connecticut,2021-02-11,191351,119,8388,5470
North America,US,Connecticut,2021-02-12,191400,111,8391,5470
North America,US,Connecticut,2021-02-13,191443,104,8394,5470
North America,US,Connecticut,2021-02-14,191483,97,8396,5470
North America,US,Connecticut,2021-02-15,191519,90,8398,5471
North America,US,Connecticut,2021-02-16,191551,84,8400,5471
North America,US,Connecticut,2021-02-17,191581,78,8401,5471
North America,US,Connecticut,2021-02-18,191607,72,8403,5471
North America,US,Connecticut,2021-02-19,191631,67,8404,5471
North America,US,Connecticut,2021-02-20,191652,62,8405,5471
North America,US,Connecticut,2021-02-21,191671,58,8406,5471
North America,US,Connecticut,2021-02-22,191688,54,8407,5472
North America,US,Connecticut,2021-02-23,191704,50,8408,5472
North America,US,Connecticut,2021-02-24,191718,46,8409,5472
North America,US,Connecticut,2021-02-25,191730,43,8410,5472
North America,US,Connecticut,2021-02-26,191741,39,8410,5472
North America,US,Connecticut,2021-02-27,191751,37,8411,5472
North America,US,Connecticut,2021-02-28,191760,34,8411,5472
North America,US,Connecticut,2021-03-01,191768,31,8412,5472
North America,US,Connecticut,2021-03-02,191776,29,8412,5472
North America,US,Connecticut,2021-03-03,191782,27,8413,5472
North America,US,Connecticut,2021-03-04,191788,25,8413,5472
North America,US,Connecticut,2021-03-05,191793,23,8413,5472
North America,US,Connecticut,2021-03-06,191797,21,8413,5472
North America,US,Connecticut,2021-03-07,191801,19,8414,5472
North America,US,Connecticut,2021-03-08,191805,18,8414,5472
North America,US,Connecticut,2021-03-09,191808,16,8414,5472
North America,US,Connecticut,2021-03-10,191811,15,8414,5472
North America,US,Connecticut,2021-03-11,191814,14,8414,5472
North America,US,Connecticut,2021-03-12,191816,13,8414,5472
North America,US,Connecticut,2021-03-13,191818,12,8415,5472
North America,US,Connecticut,2021-03-14,191820,11,8415,5472
North America,US,Connecticut,2021-03-15,191821,10,8415,5472
