"Continent","Country","Province","Data Start Date","Infection Rate","Median Day of Action","Rate of Action","Rate of Death","Mortality Rate","Internal Parameter 1","Internal Parameter 2"
"North America","Canada","Manitoba","2020-03-31",0.7903161244472919,-27.79486893598772,2.7440643677717262,14.208724623816826,0.0312647587431067,0.1439016343611864,1.0829828369989853
"North America","Canada","New Brunswick","2020-04-06",0.9441690321122514,-51.668698354312674,3.581126796767192,22.281942389682076,0.004599923360480124,0.05416693710410967,0.08380937206522908
"North America","Canada","Newfoundland and Labrador","2020-03-27",0.3440700846520524,-28.311572053595395,3.8748518122754643,14.995772107429106,0.019282530792808138,0.817937444582756,0.6159574369977068
"North America","Canada","Nova Scotia","2020-03-28",0.7007063684152234,-3.832757944472461,0.965870824656294,8.455453543054578,0.028568999973343907,1.5752787247181606,0.2180751321223872
"North America","Canada","Ontario","2020-03-15",1.2655453475553937,4.863308212703932,1.57926022456125,19.437089247901557,0.16823298597785155,3.390394801897309,0.12955615158091666
"North America","Canada","Quebec","2020-03-19",1.232592163925329,2.232382257262552,2.007021100984316,19.240953914334096,0.1507464194630017,8.6675881825844,2.4798432860058273
"North America","Canada","Saskatchewan","2020-03-28",0.739162580211503,-26.893120844100313,1.6236880775125078,16.244071526769194,0.02424666532481488,0.6012823198928032,0.4037285586229247
"South America","Chile","None","2020-03-16",1.1651157276400126,-5.052689729566768,1.1415008781068021,19.021268416949756,0.03543535050053301,6.870179515086792,0.05280493310160626
"South America","Colombia","None","2020-03-19",1.3421790702614889,-10.99978615370164,1.1274934731016002,13.60812309408505,0.0980415402291826,5.25563490594687,0.049408411821480494
"Africa","Congo (Kinshasa)","None","2020-04-01",1.3723436249187118,-21.859925830354904,1.5738010646106706,7.49304526497892,0.08589322989855502,2.4105616517144055,0.07223754944296316
"Africa","Congo (Brazzaville)","None","2020-04-15",0.8713953591148337,-22.815197767139107,1.7544680756777196,14.168454026926815,0.02096693786976625,0.5062130630047825,0.39731341019467326
"North America","Costa Rica","None","2020-03-21",0.8005306720509132,-9.081393686214666,1.9363231993712147,17.9409480015629,0.009093940779990253,1.183816652057687,0.8961296942300827
"Africa","Cote d'Ivoire","None","2020-03-27",1.2568907323713308,-7.440192993271299,1.435958986111965,19.262636012151763,0.0343813604077597,0.5758976209307638,0.667615682831572
"Europe","Croatia","None","2020-03-19",1.2583728626342419,-20.458126032207794,1.8278407791385352,17.59999971538863,0.04822236493571022,6.935677608640267,0.6099990649036116
"North America","Cuba","None","2020-03-28",1.8104063692498196,-29.568123762328348,1.3113718166409711,12.374903263184944,0.07450302504486624,3.412043851257003,0.07182969719504843
"Europe","Cyprus","None","2020-03-23",1.0665703735060772,-18.029303526303437,2.109586798211592,9.680064163679813,0.023823462217976887,3.0604585221088296,0.138373473219704
"Europe","Czechia","None","2020-03-13",1.4562726341218872,-4.511200331033064,2.7793987505213464,11.595968148997592,0.0429434265984977,8.370838005527126,0.7888514881464748
"Europe","Denmark","None","2020-03-10",1.0473360863724392,4.939461150856539,1.9393556362634663,8.149179818568465,0.06815521902174435,0.053493592146568826,0.7097738925850007
"Africa","Djibouti","None","2020-04-08",0.9075982107728982,-7.416415755987069,2.389204873986642,20.99968625748549,0.012271369654202785,4.354779877128125,0.10825205321421645
"North America","Dominican Republic","None","2020-03-21",0.9236042892709816,-11.283059698231781,0.6875288128934235,10.290833316221711,0.08831245496570181,0.0717724645341312,4.79962612041698
"South America","Ecuador","None","2020-03-18",1.2101980585865024,0.4726171280093089,0.7541100000000001,1.8435182614341783,0.04224564675373781,3.9125526972341023,0.2885873119410087
"Africa","Egypt","None","2020-03-14",1.2765197053115964,-10.382816112404553,0.7865389859229299,14.539969859102554,0.16959169050448136,1.987473023182469,0.05269902140666138
"North America","El Salvador","None","2020-04-09",1.1377040501394375,-12.16568175857321,1.3887000995255205,10.327659848334665,0.016967282468790663,1.3886457165421624,0.131740838767221
"Europe","Estonia","None","2020-03-14",1.388008145273889,-14.94473731858148,1.886220979678703,22.047993375455334,0.05798096442342581,3.5406465296793797,0.05426298680450249
"Africa","Ethiopia","None","2020-04-18",1.2961152945904224,-25.28632855678501,1.5728703892645852,17.30558012005039,0.01663064638386194,0.08589131367959749,0.11704648177148425
"Europe","Finland","None","2020-03-13",1.433428939787172,-9.537578715916641,1.3835547717369578,15.973472703971177,0.07016801398244413,2.6371462839295225,0.07070185420708712
"Europe","France","None","2020-02-29",1.2428115074478043,7.02322775543542,1.3806497881331588,5.830078769100393,0.17908044780689306,12.286193317658107,2.1091243875636887
"Africa","Gabon","None","2020-04-17",0.7248143364476365,-30.192909893214924,2.045575478439118,15.110941785901213,0.03804282182449,1.0318775743857076,0.18850646403353002
"Asia","Georgia","None","2020-03-30",1.3190369281173822,-14.462269542571468,1.799196808096898,18.752700541583547,0.0290517794086683,1.1958495986884132,0.09548966767250588
"Europe","Germany","None","2020-03-01",0.9617319622718903,17.67063576424247,3.736769968508638,21.162376764472285,0.07264462446197928,3.8694399030132844,1.1874139068689396
"Africa","Ghana","None","2020-03-26",2.0023692722323765,-15.92601563509761,1.3180378045054373,18.300369605665153,0.015703238045719038,1.2026171797460867,0.05311813241942347
"Europe","Greece","None","2020-03-13",1.3971247947031467,-18.694856463111417,1.8500605615078956,12.720069490742365,0.07789281260841815,3.770184251405063,0.09999159362474928
"North America","Guatemala","None","2020-04-10",1.1376603276141684,-16.71689783514367,1.3684073812973852,5.7301510951777415,0.03656172612650968,1.8998607585173382,0.11190941884072934
"Africa","Guinea","None","2020-04-04",1.6291516960010661,-20.41593399501932,1.0190274405604498,12.857726357857747,0.018338579667244104,1.9749746979586726,0.12578577341384542
"North America","Honduras","None","2020-03-29",1.2349650861997592,-31.992819193922056,1.3962779400014482,9.725826456993932,0.14521060743583233,2.1152135765261937,0.481939168600834
"Europe","Hungary","None","2020-03-21",1.500136322211252,-3.5875953422476377,1.9598363678873785,13.686776166992964,0.21943397860765199,1.2732846216065223,0.8725630346799893
"Europe","Iceland","None","2020-03-12",1.1914899600935887,-3.5467032873178135,3.960011578189149,19.665481523996142,0.00942660475175166,5.9037483100036665,0.09046990699111894
"Asia","India","None","2020-03-14",0.9428827809830975,1.111183698364562,0.49682129251836793,8.145113368932202,0.061540642768814234,6.9952003527498166,0.612406513485676
"Asia","Indonesia","None","2020-03-15",1.1450772782321934,-19.08995514979264,0.5796483241113098,17.309859634794442,0.21858393384601452,1.0489901388188305,3.4033667837865966
"Asia","Iran","None","2020-02-26",1.410132439783589,5.918566760396038,2.0439025949058145,1.0072933163232123,0.064897021785427,12.037103083890054,11.93365260516729
"Asia","Iraq","None","2020-03-13",1.5328774699121934,-6.526508461195547,2.1606906499363023,16.141034955128312,0.09408118905799638,2.32028698974731,1.4500857883919338
"Europe","Ireland","None","2020-03-14",1.1017471907692822,3.611803540760579,1.2447782554988407,15.452112868734968,0.11838813862028931,3.3507352497978857,1.1635593357700558
"Asia","Israel","None","2020-03-12",1.6562459795509574,2.289794163284866,3.5285885265663217,17.384239183688397,0.02549250878752937,8.062561959314188,0.3309590383259298
"Europe","Italy","None","2020-02-23",1.4887199000067302,7.831242603959128,2.194102833627871,2.7396865432054356,0.14265844374737555,5.596923397330968,1.1930824501007338
