Country,Province,Day,1 Week Earlier,Current,Percentage_Decrease
Cote d'Ivoire,None,2020-05-17,1358,2017,32.7
Croatia,None,2020-05-17,1591,2209,28
Cuba,None,2020-05-17,1334,1896,29.6
Cyprus,None,2020-05-17,721,907,20.5
Czechia,None,2020-05-17,3370,8246,59.1
Denmark,None,2020-05-17,4413,10766,59
Djibouti,None,2020-05-17,1178,1227,4
Dominican Republic,None,2020-05-17,9463,12148,22.1
Ecuador,None,2020-05-17,17109,35931,52.4
Egypt,None,2020-05-17,8659,11911,27.3
El Salvador,None,2020-05-17,929,1361,31.7
Equatorial Guinea,None,2020-05-17,464,497,6.6
Estonia,None,2020-05-17,1099,1772,38
Ethiopia,None,2020-05-17,248,327,24.2
Finland,None,2020-05-17,3141,6081,48.3
France,None,2020-05-17,37711,180230,79.1
Gabon,None,2020-05-17,959,1344,28.6
Georgia,None,2020-05-17,512,685,25.3
Germany,None,2020-05-17,19840,172893,88.5
Ghana,None,2020-05-17,3660,6444,43.2
Greece,None,2020-05-17,1959,2754,28.9
Guatemala,None,2020-05-17,1115,1609,30.7
Guinea,None,2020-05-17,1604,2648,39.4
Guinea-Bissau,None,2020-05-17,772,1017,24.1
Haiti,None,2020-05-17,329,404,18.6
Honduras,None,2020-05-17,2099,2725,23
Hungary,None,2020-05-17,952,3477,72.6
Iceland,None,2020-05-17,1089,1833,40.6
India,None,2020-05-17,66861,95289,29.8
Indonesia,None,2020-05-17,11185,16714,33.1
Iran,None,2020-05-17,28415,109901,74.1
Iraq,None,2020-05-17,1789,2980,40
Ireland,None,2020-05-17,4354,24287,82.1
Israel,None,2020-05-17,1798,16774,89.3
Italy,None,2020-05-17,23144,223200,89.6
Jamaica,None,2020-05-17,406,526,22.8
Japan,None,2020-05-17,4664,17837,73.9
Jordan,None,2020-05-17,464,537,13.6
Kazakhstan,None,2020-05-17,5081,6177,17.7
Kenya,None,2020-05-17,599,853,29.8
"Korea, South",None,2020-05-17,8767,10809,18.9
Kosovo,None,2020-05-17,735,954,23
Kuwait,None,2020-05-17,9806,14180,30.8
Latvia,None,2020-05-17,849,961,11.7
Lebanon,None,2020-05-17,736,821,10.4
Liberia,None,2020-05-17,209,229,8.7
Lithuania,None,2020-05-17,1248,1499,16.7
Luxembourg,None,2020-05-17,3427,3899,12.1
Madagascar,None,2020-05-17,196,255,23.1
Malaysia,None,2020-05-17,4089,6725,39.2
Maldives,None,2020-05-17,728,1090,33.2
Mali,None,2020-05-17,507,833,39.1
Malta,None,2020-05-17,391,510,23.3
Mauritius,None,2020-05-17,336,336,0
Mexico,None,2020-05-17,28482,49094,42
Moldova,None,2020-05-17,3551,5718,37.9
Montenegro,None,2020-05-17,318,327,2.8
Morocco,None,2020-05-17,5056,6844,26.1
Nepal,None,2020-05-17,307,319,3.8
Netherlands,None,2020-05-17,5271,44307,88.1
New Zealand,None,2020-05-17,1257,1506,16.5
Niger,None,2020-05-17,688,838,17.9
Nigeria,None,2020-05-17,3649,6431,43.3
North Macedonia,None,2020-05-17,928,1716,45.9
Norway,None,2020-05-17,2785,8113,65.7
Oman,None,2020-05-17,1594,4287,62.8
Pakistan,None,2020-05-17,57619,72700,20.7
Panama,None,2020-05-17,7215,9581,24.7
Paraguay,None,2020-05-17,626,884,29.2
Peru,None,2020-05-17,42398,91820,53.8
Philippines,None,2020-05-17,5531,11709,52.8
Poland,None,2020-05-17,7713,17739,56.5
Portugal,None,2020-05-17,9076,28249,67.9
Qatar,None,2020-05-17,20474,30612,33.1
Romania,None,2020-05-17,9927,16804,40.9
Russia,None,2020-05-17,99400,286807,65.3
Rwanda,None,2020-05-17,217,312,30.4
San Marino,None,2020-05-17,547,658,16.9
Sao Tome and Principe,None,2020-05-17,233,242,3.7
Saudi Arabia,None,2020-05-17,33693,53312,36.8
Senegal,None,2020-05-17,1443,2579,44
Serbia,None,2020-05-17,2691,10715,74.9
Sierra Leone,None,2020-05-17,418,493,15.2
Singapore,None,2020-05-17,8799,28613,69.2
Slovakia,None,2020-05-17,1036,1558,33.5
Slovenia,None,2020-05-17,1131,1480,23.6
Somalia,None,2020-05-17,1060,1391,23.8
South Africa,None,2020-05-17,10165,14159,28.2
South Sudan,None,2020-05-17,252,259,2.7
Spain,None,2020-05-17,22277,227414,90.2
Sri Lanka,None,2020-05-17,575,1023,43.8
Sudan,None,2020-05-17,1642,2392,31.4
Sweden,None,2020-05-17,16223,29460,44.9
Switzerland,None,2020-05-17,1900,30407,93.8
Tajikistan,None,2020-05-17,919,1030,10.8
Tanzania,None,2020-05-17,520,527,1.3
Thailand,None,2020-05-17,2253,3043,26
Togo,None,2020-05-17,247,315,21.6
Trinidad and Tobago,None,2020-05-17,116,116,0
Tunisia,None,2020-05-17,827,1050,21.2
Turkey,None,2020-05-17,37853,145907,74.1
Uganda,None,2020-05-17,196,263,25.5
Ukraine,None,2020-05-17,9183,18179,49.5
United Arab Emirates,None,2020-05-17,10547,22342,52.8
United Kingdom,None,2020-05-17,39243,237990,83.5
Uruguay,None,2020-05-17,636,720,11.7
US,Alabama,2020-05-17,8341,11462,27.2
US,Alaska,2020-05-17,280,300,6.7
US,Arizona,2020-05-17,10587,13559,21.9
US,Arkansas,2020-05-17,2589,4505,42.5
US,California,2020-05-17,31988,63012,49.2
US,Colorado,2020-05-17,14880,21919,32.1
US,Connecticut,2020-05-17,12526,37486,66.6
US,Delaware,2020-05-17,3925,7544,48
US,District of Columbia,2020-05-17,5179,7382,29.8
US,Florida,2020-05-17,12065,38622,68.8
US,Georgia,2020-05-17,21073,36402,42.1
US,Hawaii,2020-05-17,517,561,7.8
US,Idaho,2020-05-17,1497,1702,12
US,Illinois,2020-05-17,50961,76591,33.5
US,Indiana,2020-05-17,17657,28664,38.4
US,Iowa,2020-05-17,10570,15784,33
US,Kansas,2020-05-17,6658,9012,26.1
US,Kentucky,2020-05-17,6359,7864,19.1
US,Louisiana,2020-05-17,2743,26484,89.6
US,Maine,2020-05-17,1295,1577,17.9
US,Maryland,2020-05-17,25354,38471,34.1
US,Massachusetts,2020-05-17,15325,84726,81.9
US,Michigan,2020-05-17,26759,46467,42.4
US,Minnesota,2020-05-17,12749,16172,21.2
US,Mississippi,2020-05-17,8749,11335,22.8
US,Missouri,2020-05-17,6471,9901,34.6
US,Montana,2020-05-17,402,416,3.4
US,Nebraska,2020-05-17,7098,10235,30.6
US,Nevada,2020-05-17,5312,6518,18.5
US,New Hampshire,2020-05-17,3168,3671,13.7
US,New Jersey,2020-05-17,49673,151017,67.1
US,New Mexico,2020-05-17,4276,5977,28.5
US,New York,2020-05-17,19261,351659,94.5
US,None,2020-05-17,550573,1429711,61.5
US,North Carolina,2020-05-17,17354,23214,25.2
US,North Dakota,2020-05-17,914,1928,52.6
US,Ohio,2020-05-17,13717,27262,49.7
US,Oklahoma,2020-05-17,3841,5030,23.6
US,Oregon,2020-05-17,2832,3526,19.7
US,Pennsylvania,2020-05-17,20927,71142,70.6
US,Rhode Island,2020-05-17,3421,12527,72.7
US,South Carolina,2020-05-17,4072,7753,47.5
US,South Dakota,2020-05-17,2005,3877,48.3
US,Tennessee,2020-05-17,11660,17048,31.6
US,Texas,2020-05-17,23920,47858,50
US,Utah,2020-05-17,4118,5979,31.1
US,Vermont,2020-05-17,577,675,14.5
US,Virginia,2020-05-17,21621,32539,33.6
US,Washington,2020-05-17,2962,8015,63
US,West Virginia,2020-05-17,929,1223,24
US,Wisconsin,2020-05-17,8907,12468,28.6
US,Wyoming,2020-05-17,512,649,21.1
Uzbekistan,None,2020-05-17,1208,2579,53.2
Venezuela,None,2020-05-17,355,444,20
Vietnam,None,2020-05-17,257,287,10.5
Zambia,None,2020-05-17,520,871,40.3
