Continent,Country,Province,Day,Total Detected,Active,Active Hospitalized,Cumulative Hospitalized,Total Detected Deaths,Active Ventilated,Vaccinated,Fully Vaccinated
Africa,Burundi,None,2021-05-02,2614,23,19,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-03,2614,21,18,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-04,2614,20,17,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-05,2614,19,16,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-06,2614,19,16,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-07,2614,18,15,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-08,2614,17,14,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-09,2614,16,14,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-10,2614,15,13,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-11,2614,15,12,1259,6,1,0.0,0.0
Africa,Burundi,None,2021-05-12,2614,14,12,1259,6,0,0.0,0.0
Africa,Burundi,None,2021-05-13,2614,13,11,1259,6,0,0.0,0.0
Africa,Burundi,None,2021-05-14,2614,13,11,1259,6,0,0.0,0.0
Africa,Burundi,None,2021-05-15,2614,12,10,1259,6,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-20,14952,5,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-21,14952,5,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-22,14952,5,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-23,14952,5,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-24,14952,5,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-25,14952,5,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-26,14952,5,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-27,14952,4,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-28,14952,4,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-29,14952,4,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-04-30,14952,4,1,1039,160,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-01,14952,4,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-02,14952,4,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-03,14952,4,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-04,14952,4,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-05,14952,4,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-06,14952,3,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-07,14952,3,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-08,14952,3,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-09,14952,3,1,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-10,14952,3,0,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-11,14952,3,0,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-12,14952,3,0,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-13,14952,3,0,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-14,14952,3,0,1039,161,0,0.0,0.0
Africa,Cabo Verde,None,2021-05-15,14952,3,0,1039,161,0,0.0,0.0
Africa,Cameroon,None,2021-04-20,35578,7,0,595,609,0,0.0,0.0
Africa,Cameroon,None,2021-04-21,35578,7,0,595,609,0,0.0,0.0
Africa,Cameroon,None,2021-04-22,35578,7,0,595,609,0,0.0,0.0
Africa,Cameroon,None,2021-04-23,35578,7,0,595,609,0,0.0,0.0
Africa,Cameroon,None,2021-04-24,35578,7,0,595,609,0,0.0,0.0
Africa,Cameroon,None,2021-04-25,35578,6,0,595,609,0,0.0,0.0
Africa,Cameroon,None,2021-04-26,35578,6,0,595,609,0,0.0,0.0
Africa,Cameroon,None,2021-04-27,35578,6,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-04-28,35578,6,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-04-29,35578,6,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-04-30,35578,6,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-05-01,35578,6,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-05-02,35578,6,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-05-03,35578,5,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-05-04,35578,5,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-05-05,35578,5,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-05-06,35578,5,0,595,610,0,0.0,0.0
Africa,Cameroon,None,2021-05-07,35578,5,0,595,611,0,0.0,0.0
Africa,Cameroon,None,2021-05-08,35578,5,0,595,611,0,0.0,0.0
Africa,Cameroon,None,2021-05-09,35578,5,0,595,611,0,0.0,0.0
Africa,Cameroon,None,2021-05-10,35578,5,0,595,611,0,0.0,0.0
Africa,Cameroon,None,2021-05-11,35578,5,0,595,611,0,0.0,0.0
Africa,Cameroon,None,2021-05-12,35578,5,0,595,611,0,0.0,0.0
Africa,Cameroon,None,2021-05-13,35578,4,0,595,611,0,0.0,0.0
Africa,Cameroon,None,2021-05-14,35578,4,0,595,611,0,0.0,0.0
Africa,Cameroon,None,2021-05-15,35578,4,0,595,611,0,0.0,0.0
Africa,Central African Republic,None,2021-04-20,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-21,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-22,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-23,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-24,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-25,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-26,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-27,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-28,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-29,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-04-30,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-01,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-02,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-03,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-04,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-05,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-06,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-07,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-08,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-09,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-10,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-11,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-12,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-13,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-14,5075,0,0,2248,65,0,0.0,0.0
Africa,Central African Republic,None,2021-05-15,5075,0,0,2248,65,0,0.0,0.0
Africa,Chad,None,2021-04-20,3746,6,0,41,153,0,0.0,0.0
Africa,Chad,None,2021-04-21,3746,6,0,41,153,0,0.0,0.0
Africa,Chad,None,2021-04-22,3746,5,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-04-23,3746,5,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-04-24,3746,5,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-04-25,3746,5,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-04-26,3746,5,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-04-27,3746,5,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-04-28,3746,5,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-04-29,3746,5,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-04-30,3746,4,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-05-01,3746,4,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-05-02,3746,4,0,41,154,0,0.0,0.0
Africa,Chad,None,2021-05-03,3746,4,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-04,3746,4,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-05,3746,4,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-06,3746,4,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-07,3746,4,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-08,3746,4,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-09,3746,4,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-10,3746,4,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-11,3746,3,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-12,3746,3,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-13,3746,3,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-14,3746,3,0,41,155,0,0.0,0.0
Africa,Chad,None,2021-05-15,3746,3,0,41,155,0,0.0,0.0
Africa,Comoros,None,2021-04-20,3632,38,32,1771,149,2,0.0,0.0
Africa,Comoros,None,2021-04-21,3632,36,30,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-22,3632,34,29,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-23,3632,33,28,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-24,3632,31,26,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-25,3632,30,25,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-26,3632,28,24,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-27,3632,27,23,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-28,3632,26,22,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-29,3632,24,21,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-04-30,3632,23,20,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-05-01,3632,22,19,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-05-02,3632,21,18,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-05-03,3632,20,17,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-05-04,3632,19,17,1771,149,1,0.0,0.0
Africa,Comoros,None,2021-05-05,3632,18,16,1771,150,1,0.0,0.0
Africa,Comoros,None,2021-05-06,3632,17,15,1771,150,1,0.0,0.0
Africa,Comoros,None,2021-05-07,3632,16,15,1771,150,0,0.0,0.0
Africa,Comoros,None,2021-05-08,3632,16,14,1771,150,0,0.0,0.0
Africa,Comoros,None,2021-05-09,3632,15,13,1771,150,0,0.0,0.0
Africa,Comoros,None,2021-05-10,3632,14,13,1771,150,0,0.0,0.0
Africa,Comoros,None,2021-05-11,3632,14,12,1771,150,0,0.0,0.0
Africa,Comoros,None,2021-05-12,3632,13,12,1771,150,0,0.0,0.0
Africa,Comoros,None,2021-05-13,3632,12,11,1771,150,0,0.0,0.0
Africa,Comoros,None,2021-05-14,3632,12,11,1771,150,0,0.0,0.0
Africa,Comoros,None,2021-05-15,3632,11,10,1771,150,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-20,8293,3,2,2568,130,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-21,8293,3,2,2568,130,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-22,8293,3,2,2568,130,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-23,8293,3,2,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-24,8293,3,2,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-25,8293,3,2,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-26,8293,3,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-27,8293,3,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-28,8293,3,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-29,8293,3,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-04-30,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-01,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-02,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-03,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-04,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-05,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-06,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-07,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-08,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-09,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-10,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-11,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-12,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-13,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-14,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Brazzaville),None,2021-05-15,8293,2,1,2568,131,0,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-20,22241,20,12,11137,714,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-21,22241,19,11,11137,715,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-22,22241,19,11,11137,715,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-23,22241,18,11,11137,715,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-24,22241,18,10,11137,716,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-25,22241,17,10,11137,716,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-26,22241,17,10,11137,716,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-27,22241,17,10,11137,717,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-28,22241,16,9,11137,717,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-29,22241,16,9,11137,717,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-04-30,22241,15,9,11137,717,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-01,22241,15,9,11137,718,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-02,22241,15,8,11137,718,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-03,22241,14,8,11137,718,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-04,22241,14,8,11137,718,2,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-05,22241,14,8,11137,719,1,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-06,22241,13,8,11137,719,1,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-07,22241,13,7,11137,719,1,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-08,22241,13,7,11137,719,1,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-09,22241,12,7,11137,719,1,0.0,0.0
Africa,Congo (Kinshasa),None,2021-05-10,22241,12,7,11137,720,1,0.0,0.0
