prediction_date,n_days_backtest,tuple_area,mape_cases,mape_deaths,mae_cases,mae_deaths,mse_cases,mse_deaths
2020-08-01,30,"('Europe', 'Ukraine', 'None')",12.719,7.608,13257.161,175.226,262330335.097,49139.806
2020-08-01,30,"('Europe', 'United Kingdom', 'None')",6.318,11.375,20375.452,4704.774,497023442.935,22135633.29
2020-08-01,30,"('North America', 'Barbados', 'None')",20.617,0.0,31.742,0.0,1138.839,0.0
2020-08-01,30,"('North America', 'Canada', 'Alberta')",11.123,11.789,1406.29,26.581,2574644.355,832.065
2020-08-01,30,"('North America', 'Canada', 'British Columbia')",13.108,3.748,652.839,7.452,691489.097,61.774
2020-08-01,30,"('North America', 'Canada', 'Manitoba')",31.256,13.529,279.806,1.742,132593.806,6.968
2020-08-01,30,"('North America', 'Canada', 'New Brunswick')",1.763,14.516,3.129,0.29,14.419,0.29
2020-08-01,30,"('North America', 'Canada', 'Newfoundland and Labrador')",2.108,0.0,5.645,0.0,32.742,0.0
2020-08-01,30,"('North America', 'Canada', 'Nova Scotia')",0.772,0.447,8.323,0.29,91.613,0.29
2020-08-01,30,"('North America', 'Canada', 'Ontario')",4.63,3.078,1989.871,87.323,4527682.968,7641.71
2020-08-01,30,"('North America', 'Canada', 'Quebec')",5.839,1.649,3576.0,94.226,13439345.032,9083.581
2020-08-01,30,"('North America', 'Canada', 'Saskatchewan')",3.235,3.349,49.258,0.71,2788.032,0.903
2020-08-01,30,"('North America', 'Costa Rica', 'None')",15.956,19.303,5000.71,55.258,33478065.355,3193.645
2020-08-01,30,"('North America', 'Cuba', 'None')",25.015,1.852,871.839,1.677,948914.742,4.581
2020-08-01,30,"('North America', 'Dominican Republic', 'None')",13.28,7.961,11949.0,118.065,231915122.806,16459.613
2020-08-01,30,"('North America', 'El Salvador', 'None')",4.377,21.644,1070.968,139.226,2578182.258,27484.065
2020-08-01,30,"('North America', 'Guatemala', 'None')",1.881,12.666,1275.387,311.097,3158196.806,111511.677
2020-08-01,30,"('North America', 'Haiti', 'None')",5.966,13.294,474.903,25.581,273471.935,745.323
2020-08-01,30,"('North America', 'Honduras', 'None')",6.391,3.91,3336.032,60.0,12718536.484,5027.742
2020-08-01,30,"('North America', 'Mexico', 'None')",5.841,1.14,30877.032,655.613,1026520282.452,580678.452
2020-08-01,30,"('North America', 'Nicaragua', 'None')",1.248,1.331,50.903,1.71,3492.452,4.935
2020-08-01,30,"('North America', 'Panama', 'None')",4.691,3.086,3995.29,56.71,23514345.871,5235.484
2020-08-01,30,"('North America', 'US', 'Alabama')",8.659,10.616,9908.935,207.516,141600120.935,51303.71
2020-08-01,30,"('North America', 'US', 'Alaska')",14.341,19.161,658.161,5.839,634123.71,42.032
2020-08-01,30,"('North America', 'US', 'Arizona')",7.951,5.013,15586.774,237.516,323318889.935,95043.194
2020-08-01,30,"('North America', 'US', 'Arkansas')",7.795,4.4,4348.581,25.0,27810281.548,760.484
2020-08-01,30,"('North America', 'US', 'California')",10.163,12.752,64775.645,1447.419,5009917270.548,2177020.323
2020-08-01,30,"('North America', 'US', 'Colorado')",8.358,9.784,4505.581,185.323,23881771.065,34784.226
2020-08-01,30,"('North America', 'US', 'Connecticut')",5.526,0.367,2840.065,16.323,8789186.0,311.097
2020-08-01,30,"('North America', 'US', 'Delaware')",9.776,1.086,1617.29,6.484,3082364.387,52.355
2020-08-01,30,"('North America', 'US', 'District of Columbia')",6.391,2.656,856.581,15.839,910129.097,253.71
2020-08-01,30,"('North America', 'US', 'Florida')",10.84,4.205,63827.161,383.258,5728825912.774,169847.0
2020-08-01,30,"('North America', 'US', 'Georgia')",1.079,2.592,2586.613,111.806,9946099.323,17659.226
2020-08-01,30,"('North America', 'US', 'Hawaii')",51.767,20.252,2959.065,9.806,12105773.71,171.935
2020-08-01,30,"('North America', 'US', 'Idaho')",0.945,6.913,251.161,20.452,97571.613,566.581
2020-08-01,30,"('North America', 'US', 'Illinois')",24.415,5.599,51826.871,449.065,2957066957.129,225344.871
2020-08-01,30,"('North America', 'US', 'Indiana')",10.866,5.814,9198.161,181.968,116594611.065,33396.935
2020-08-01,30,"('North America', 'US', 'Iowa')",13.063,4.271,7387.903,43.258,79370398.226,2824.742
2020-08-01,30,"('North America', 'US', 'Kansas')",14.764,6.745,5442.871,26.29,41633314.161,912.419
2020-08-01,30,"('North America', 'US', 'Kentucky')",3.911,13.169,1694.387,108.806,4973793.355,12087.71
2020-08-01,30,"('North America', 'US', 'Louisiana')",1.967,1.498,2735.097,64.613,10665593.032,5455.452
2020-08-01,30,"('North America', 'US', 'Maine')",4.677,3.454,200.935,4.452,56032.032,24.581
2020-08-01,30,"('North America', 'US', 'Maryland')",5.544,6.07,5679.0,220.581,42235439.0,48942.71
2020-08-01,30,"('North America', 'US', 'Massachusetts')",9.461,4.969,11741.71,440.742,147220759.065,209321.0
2020-08-01,30,"('North America', 'US', 'Michigan')",10.307,4.408,10808.871,290.355,145660456.871,84917.516
2020-08-01,30,"('North America', 'US', 'Minnesota')",10.641,7.734,7266.323,134.032,72033086.581,19453.194
2020-08-01,30,"('North America', 'US', 'Mississippi')",9.839,0.965,7507.323,19.806,80991355.839,569.677
2020-08-01,30,"('North America', 'US', 'Missouri')",7.321,21.149,5306.355,301.871,37057370.484,108385.161
2020-08-01,30,"('North America', 'US', 'Montana')",8.759,6.679,536.452,5.742,384474.71,40.903
