key,date,new_cases,new_deaths,cumulative_cases,cumulative_deaths,population,country,state_province,county,aggregation_level
AR_C_002,2020-05-14,0,0,52,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-04,7,0,233,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-14,2,1,130,8,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-22,0,0,19,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-22,15,0,392,18,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-21,0,0,6,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-18,0,0,19,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-09,3,1,257,13,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-15,12,0,316,15,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-05,2,0,99,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-01,5,0,211,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-29,6,0,196,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-15,2,0,5,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-08,0,0,17,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-04,2,0,17,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-27,3,0,73,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-23,2,0,8,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-08,4,0,109,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-12,0,0,1,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-05,15,0,606,20,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-16,0,0,19,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-13,1,0,128,7,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-07,0,0,17,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-08-10,12,1,661,21,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-28,0,0,73,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-23,0,0,19,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-02,9,0,220,11,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-20,5,1,154,10,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-03-30,0,0,12,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-07-08,3,0,254,12,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-10,0,1,112,6,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-06,4,0,103,5,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-04-14,1,0,19,0,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-19,3,0,58,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-05-20,3,0,61,1,157932,Argentina,City of Buenos Aires,Recoleta,2
AR_C_002,2020-06-21,3,1,157,11,157932,Argentina,City of Buenos Aires,Recoleta,2
