Country,Province_State,Date,Cum_Cases,Cum_Deaths, Population
Russia,Amursk Oblast,2020-05-17,222,1,790676
Russia,Amursk Oblast,2020-05-18,238,1,790676
Russia,Amursk Oblast,2020-05-19,238,1,790676
Russia,Amursk Oblast,2020-05-20,247,1,790676
Russia,Amursk Oblast,2020-05-21,294,1,790676
Russia,Amursk Oblast,2020-05-22,294,1,790676
Russia,Amursk Oblast,2020-05-23,340,1,790676
Russia,Amursk Oblast,2020-05-24,355,5,790676
Russia,Amursk Oblast,2020-05-25,385,5,790676
Russia,Amursk Oblast,2020-05-26,401,5,790676
Russia,Amursk Oblast,2020-05-27,401,5,790676
Russia,Amursk Oblast,2020-05-28,433,5,790676
Russia,Amursk Oblast,2020-05-29,461,5,790676
Russia,Amursk Oblast,2020-05-30,461,5,790676
Russia,Amursk Oblast,2020-05-31,461,5,790676
Russia,Amursk Oblast,2020-06-01,506,5,790676
Russia,Arkhangelsk Oblast,2020-03-22,0,0,1136387
Russia,Arkhangelsk Oblast,2020-03-23,0,0,1136387
Russia,Arkhangelsk Oblast,2020-03-24,0,0,1136387
Russia,Arkhangelsk Oblast,2020-03-25,3,0,1136387
Russia,Arkhangelsk Oblast,2020-03-26,3,0,1136387
Russia,Arkhangelsk Oblast,2020-03-27,3,0,1136387
Russia,Arkhangelsk Oblast,2020-03-28,3,0,1136387
Russia,Arkhangelsk Oblast,2020-03-29,3,0,1136387
Russia,Arkhangelsk Oblast,2020-03-30,7,0,1136387
Russia,Arkhangelsk Oblast,2020-03-31,7,0,1136387
Russia,Arkhangelsk Oblast,2020-04-01,7,0,1136387
Russia,Arkhangelsk Oblast,2020-04-02,7,0,1136387
Russia,Arkhangelsk Oblast,2020-04-03,8,0,1136387
Russia,Arkhangelsk Oblast,2020-04-04,8,0,1136387
Russia,Arkhangelsk Oblast,2020-04-05,8,0,1136387
Russia,Arkhangelsk Oblast,2020-04-06,14,0,1136387
Russia,Arkhangelsk Oblast,2020-04-07,14,0,1136387
Russia,Arkhangelsk Oblast,2020-04-08,14,0,1136387
Russia,Arkhangelsk Oblast,2020-04-09,24,0,1136387
Russia,Arkhangelsk Oblast,2020-04-10,24,0,1136387
Russia,Arkhangelsk Oblast,2020-04-11,24,0,1136387
Russia,Arkhangelsk Oblast,2020-04-12,24,0,1136387
Russia,Arkhangelsk Oblast,2020-04-13,31,0,1136387
Russia,Arkhangelsk Oblast,2020-04-14,32,0,1136387
Russia,Arkhangelsk Oblast,2020-04-15,32,0,1136387
Russia,Arkhangelsk Oblast,2020-04-16,33,0,1136387
Russia,Arkhangelsk Oblast,2020-04-17,34,0,1136387
Russia,Arkhangelsk Oblast,2020-04-18,39,0,1136387
Russia,Arkhangelsk Oblast,2020-04-19,107,0,1136387
Russia,Arkhangelsk Oblast,2020-04-20,114,1,1136387
Russia,Arkhangelsk Oblast,2020-04-21,118,1,1136387
Russia,Arkhangelsk Oblast,2020-04-22,120,1,1136387
Russia,Arkhangelsk Oblast,2020-04-23,123,1,1136387
Russia,Arkhangelsk Oblast,2020-04-24,137,1,1136387
Russia,Arkhangelsk Oblast,2020-04-25,147,1,1136387
Russia,Arkhangelsk Oblast,2020-04-26,167,1,1136387
Russia,Arkhangelsk Oblast,2020-04-27,175,1,1136387
Russia,Arkhangelsk Oblast,2020-04-28,181,1,1136387
Russia,Arkhangelsk Oblast,2020-04-29,185,1,1136387
Russia,Arkhangelsk Oblast,2020-04-30,198,1,1136387
Russia,Arkhangelsk Oblast,2020-05-01,213,5,1136387
Russia,Arkhangelsk Oblast,2020-05-02,238,1,1136387
Russia,Arkhangelsk Oblast,2020-05-03,260,1,1136387
Russia,Arkhangelsk Oblast,2020-05-04,299,1,1136387
Russia,Arkhangelsk Oblast,2020-05-05,305,1,1136387
Russia,Arkhangelsk Oblast,2020-05-06,329,1,1136387
Russia,Arkhangelsk Oblast,2020-05-07,372,1,1136387
Russia,Arkhangelsk Oblast,2020-05-08,372,1,1136387
Russia,Arkhangelsk Oblast,2020-05-09,372,1,1136387
Russia,Arkhangelsk Oblast,2020-05-10,372,1,1136387
Russia,Arkhangelsk Oblast,2020-05-11,457,3,1136387
Russia,Arkhangelsk Oblast,2020-05-12,494,3,1136387
Russia,Arkhangelsk Oblast,2020-05-13,513,3,1136387
Russia,Arkhangelsk Oblast,2020-05-14,554,3,1136387
Russia,Arkhangelsk Oblast,2020-05-15,586,3,1136387
Russia,Arkhangelsk Oblast,2020-05-16,586,3,1136387
Russia,Arkhangelsk Oblast,2020-05-17,688,3,1136387
Russia,Arkhangelsk Oblast,2020-05-18,720,3,1136387
Russia,Arkhangelsk Oblast,2020-05-19,720,3,1136387
Russia,Arkhangelsk Oblast,2020-05-20,792,4,1136387
Russia,Arkhangelsk Oblast,2020-05-21,858,4,1136387
Russia,Arkhangelsk Oblast,2020-05-22,858,4,1136387
Russia,Arkhangelsk Oblast,2020-05-23,925,4,1136387
Russia,Arkhangelsk Oblast,2020-05-24,1020,4,1136387
Russia,Arkhangelsk Oblast,2020-05-25,1146,4,1136387
Russia,Arkhangelsk Oblast,2020-05-26,1315,4,1136387
Russia,Arkhangelsk Oblast,2020-05-27,1315,4,1136387
Russia,Arkhangelsk Oblast,2020-05-28,1537,5,1136387
Russia,Arkhangelsk Oblast,2020-05-29,1638,5,1136387
Russia,Arkhangelsk Oblast,2020-05-30,1638,5,1136387
Russia,Arkhangelsk Oblast,2020-05-31,1638,5,1136387
Russia,Arkhangelsk Oblast,2020-06-01,1933,5,1136387
Russia,Astrahan Oblast,2020-03-22,0,0,1005967
Russia,Astrahan Oblast,2020-03-23,0,0,1005967
Russia,Astrahan Oblast,2020-03-24,0,0,1005967
Russia,Astrahan Oblast,2020-03-25,0,0,1005967
Russia,Astrahan Oblast,2020-03-26,0,0,1005967
Russia,Astrahan Oblast,2020-03-27,0,0,1005967
Russia,Astrahan Oblast,2020-03-28,0,0,1005967
Russia,Astrahan Oblast,2020-03-29,0,0,1005967
Russia,Astrahan Oblast,2020-03-30,0,0,1005967
Russia,Astrahan Oblast,2020-03-31,2,0,1005967
Russia,Astrahan Oblast,2020-04-01,2,0,1005967
Russia,Astrahan Oblast,2020-04-02,2,0,1005967
Russia,Astrahan Oblast,2020-04-03,5,0,1005967
Russia,Astrahan Oblast,2020-04-04,5,0,1005967
Russia,Astrahan Oblast,2020-04-05,5,0,1005967
Russia,Astrahan Oblast,2020-04-06,5,0,1005967
Russia,Astrahan Oblast,2020-04-07,5,0,1005967
Russia,Astrahan Oblast,2020-04-08,5,0,1005967
Russia,Astrahan Oblast,2020-04-09,21,0,1005967
Russia,Astrahan Oblast,2020-04-10,21,0,1005967
Russia,Astrahan Oblast,2020-04-11,21,0,1005967
Russia,Astrahan Oblast,2020-04-12,29,0,1005967
Russia,Astrahan Oblast,2020-04-13,30,0,1005967
Russia,Astrahan Oblast,2020-04-14,30,0,1005967
Russia,Astrahan Oblast,2020-04-15,47,1,1005967
Russia,Astrahan Oblast,2020-04-16,60,3,1005967
Russia,Astrahan Oblast,2020-04-17,64,3,1005967
Russia,Astrahan Oblast,2020-04-18,99,3,1005967
Russia,Astrahan Oblast,2020-04-19,123,3,1005967
Russia,Astrahan Oblast,2020-04-20,136,3,1005967
Russia,Astrahan Oblast,2020-04-21,137,3,1005967
Russia,Astrahan Oblast,2020-04-22,148,3,1005967
Russia,Astrahan Oblast,2020-04-23,165,3,1005967
Russia,Astrahan Oblast,2020-04-24,186,3,1005967
Russia,Astrahan Oblast,2020-04-25,211,4,1005967
Russia,Astrahan Oblast,2020-04-26,277,4,1005967
Russia,Astrahan Oblast,2020-04-27,298,4,1005967
Russia,Astrahan Oblast,2020-04-28,306,4,1005967
Russia,Astrahan Oblast,2020-04-29,350,4,1005967
Russia,Astrahan Oblast,2020-04-30,365,4,1005967
Russia,Astrahan Oblast,2020-05-01,384,4,1005967
Russia,Astrahan Oblast,2020-05-02,411,4,1005967
Russia,Astrahan Oblast,2020-05-03,487,4,1005967
Russia,Astrahan Oblast,2020-05-04,504,4,1005967
Russia,Astrahan Oblast,2020-05-05,535,6,1005967
Russia,Astrahan Oblast,2020-05-06,564,6,1005967
Russia,Astrahan Oblast,2020-05-07,629,6,1005967
Russia,Astrahan Oblast,2020-05-08,629,6,1005967
Russia,Astrahan Oblast,2020-05-09,629,6,1005967
Russia,Astrahan Oblast,2020-05-10,629,6,1005967
Russia,Astrahan Oblast,2020-05-11,764,6,1005967
Russia,Astrahan Oblast,2020-05-12,806,7,1005967
Russia,Astrahan Oblast,2020-05-13,850,7,1005967
Russia,Astrahan Oblast,2020-05-14,895,7,1005967
Russia,Astrahan Oblast,2020-05-15,945,7,1005967
Russia,Astrahan Oblast,2020-05-16,945,7,1005967
Russia,Astrahan Oblast,2020-05-17,1029,7,1005967
Russia,Astrahan Oblast,2020-05-18,1065,7,1005967
Russia,Astrahan Oblast,2020-05-19,1065,7,1005967
Russia,Astrahan Oblast,2020-05-20,1099,7,1005967
Russia,Astrahan Oblast,2020-05-21,1202,7,1005967
Russia,Astrahan Oblast,2020-05-22,1202,7,1005967
Russia,Astrahan Oblast,2020-05-23,1298,8,1005967
Russia,Astrahan Oblast,2020-05-24,1348,10,1005967
Russia,Astrahan Oblast,2020-05-25,1501,11,1005967
Russia,Astrahan Oblast,2020-05-26,1558,11,1005967
Russia,Astrahan Oblast,2020-05-27,1558,11,1005967
Russia,Astrahan Oblast,2020-05-28,1614,15,1005967
Russia,Astrahan Oblast,2020-05-29,1654,15,1005967
Russia,Astrahan Oblast,2020-05-30,1654,15,1005967
Russia,Astrahan Oblast,2020-05-31,1654,15,1005967
Russia,Astrahan Oblast,2020-06-01,1752,15,1005967
Russia,Belgorod Oblast,2020-03-22,0,0,1547532
Russia,Belgorod Oblast,2020-03-23,0,0,1547532
Russia,Belgorod Oblast,2020-03-24,0,0,1547532
Russia,Belgorod Oblast,2020-03-25,1,0,1547532
Russia,Belgorod Oblast,2020-03-26,1,0,1547532
Russia,Belgorod Oblast,2020-03-27,1,0,1547532
Russia,Belgorod Oblast,2020-03-28,1,0,1547532
Russia,Belgorod Oblast,2020-03-29,2,0,1547532
Russia,Belgorod Oblast,2020-03-30,5,0,1547532
Russia,Belgorod Oblast,2020-03-31,5,0,1547532
Russia,Belgorod Oblast,2020-04-01,5,0,1547532
Russia,Belgorod Oblast,2020-04-02,6,0,1547532
Russia,Belgorod Oblast,2020-04-03,6,0,1547532
Russia,Belgorod Oblast,2020-04-04,7,0,1547532
Russia,Belgorod Oblast,2020-04-05,7,0,1547532
Russia,Belgorod Oblast,2020-04-06,11,0,1547532
Russia,Belgorod Oblast,2020-04-07,14,0,1547532
Russia,Belgorod Oblast,2020-04-08,18,0,1547532
Russia,Belgorod Oblast,2020-04-09,18,0,1547532
Russia,Belgorod Oblast,2020-04-10,26,0,1547532
Russia,Belgorod Oblast,2020-04-11,26,0,1547532
Russia,Belgorod Oblast,2020-04-12,31,0,1547532
Russia,Belgorod Oblast,2020-04-13,31,0,1547532
Russia,Belgorod Oblast,2020-04-14,41,0,1547532
Russia,Belgorod Oblast,2020-04-15,45,1,1547532
Russia,Belgorod Oblast,2020-04-16,58,2,1547532
Russia,Belgorod Oblast,2020-04-17,70,2,1547532
Russia,Belgorod Oblast,2020-04-18,81,2,1547532
Russia,Belgorod Oblast,2020-04-19,90,2,1547532
Russia,Belgorod Oblast,2020-04-20,112,2,1547532
Russia,Belgorod Oblast,2020-04-21,122,2,1547532
Russia,Belgorod Oblast,2020-04-22,144,2,1547532
Russia,Belgorod Oblast,2020-04-23,176,2,1547532
Russia,Belgorod Oblast,2020-04-24,202,2,1547532
Russia,Belgorod Oblast,2020-04-25,221,2,1547532
Russia,Belgorod Oblast,2020-04-26,242,2,1547532
Russia,Belgorod Oblast,2020-04-27,269,2,1547532
Russia,Belgorod Oblast,2020-04-28,299,3,1547532
Russia,Belgorod Oblast,2020-04-29,327,3,1547532
Russia,Belgorod Oblast,2020-04-30,355,4,1547532
Russia,Belgorod Oblast,2020-05-01,383,5,1547532
Russia,Belgorod Oblast,2020-05-02,419,5,1547532
Russia,Belgorod Oblast,2020-05-03,454,5,1547532
Russia,Belgorod Oblast,2020-05-04,485,5,1547532
Russia,Belgorod Oblast,2020-05-05,524,5,1547532
Russia,Belgorod Oblast,2020-05-06,540,5,1547532
Russia,Belgorod Oblast,2020-05-07,613,6,1547532
Russia,Belgorod Oblast,2020-05-08,613,6,1547532
Russia,Belgorod Oblast,2020-05-09,613,6,1547532
Russia,Belgorod Oblast,2020-05-10,613,6,1547532
Russia,Belgorod Oblast,2020-05-11,798,6,1547532
Russia,Belgorod Oblast,2020-05-12,852,8,1547532
Russia,Belgorod Oblast,2020-05-13,942,8,1547532
Russia,Belgorod Oblast,2020-05-14,994,8,1547532
Russia,Belgorod Oblast,2020-05-15,1073,9,1547532
Russia,Belgorod Oblast,2020-05-16,1073,9,1547532
Russia,Belgorod Oblast,2020-05-17,1222,9,1547532
Russia,Belgorod Oblast,2020-05-18,1292,9,1547532
Russia,Belgorod Oblast,2020-05-19,1292,9,1547532
Russia,Belgorod Oblast,2020-05-20,1361,11,1547532
Russia,Belgorod Oblast,2020-05-21,1499,12,1547532
Russia,Belgorod Oblast,2020-05-22,1499,12,1547532
Russia,Belgorod Oblast,2020-05-23,1654,12,1547532
Russia,Belgorod Oblast,2020-05-24,1736,13,1547532
Russia,Belgorod Oblast,2020-05-25,1825,15,1547532
Russia,Belgorod Oblast,2020-05-26,1901,15,1547532
Russia,Belgorod Oblast,2020-05-27,1901,15,1547532
