continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths
Asia,Bangladesh,None,2020-04-06 00:00:00,2020-04-27 00:00:00,14.995,31.853,2020-04-28 00:00:00,2020-05-04 00:00:00,4.638,28.043
Asia,Bangladesh,None,None,None,14.995,31.853,None,None,4.638,28.043
Asia,Cambodia,None,2020-03-29 00:00:00,2020-04-25 00:00:00,0.789,,2020-04-26 00:00:00,2020-05-04 00:00:00,1.314,
Asia,Cambodia,None,None,None,0.789,,None,None,1.314,
Asia,Georgia,None,2020-03-30 00:00:00,2020-04-25 00:00:00,3.951,14.099,2020-04-26 00:00:00,2020-05-04 00:00:00,2.205,11.128
Asia,Georgia,None,None,None,3.951,14.099,None,None,2.205,11.128
Asia,India,None,2020-03-14 00:00:00,2020-04-21 00:00:00,7.743,37.397,2020-04-22 00:00:00,2020-05-04 00:00:00,2.338,5.195
Asia,India,None,None,None,7.743,37.397,None,None,2.338,5.195
Asia,Indonesia,None,2020-03-15 00:00:00,2020-04-22 00:00:00,5.728,15.789,2020-04-23 00:00:00,2020-05-04 00:00:00,0.693,10.151
Asia,Indonesia,None,None,None,5.728,15.789,None,None,0.693,10.151
Asia,Iran,None,2020-02-26 00:00:00,2020-04-17 00:00:00,18.567,16.15,2020-04-18 00:00:00,2020-05-04 00:00:00,1.287,3.077
Asia,Iran,None,None,None,18.567,16.15,None,None,1.287,3.077
Asia,Iraq,None,2020-03-13 00:00:00,2020-04-21 00:00:00,11.393,11.67,2020-04-22 00:00:00,2020-05-04 00:00:00,5.854,9.06
Asia,Iraq,None,None,None,11.393,11.67,None,None,5.854,9.06
Asia,Israel,None,2020-03-13 00:00:00,2020-04-21 00:00:00,15.689,76.257,2020-04-22 00:00:00,2020-05-04 00:00:00,2.245,2.994
Asia,Israel,None,None,None,15.689,76.257,None,None,2.245,2.994
Asia,Japan,None,2020-02-21 00:00:00,2020-04-16 00:00:00,29.405,29.714,2020-04-17 00:00:00,2020-05-04 00:00:00,23.827,27.525
Asia,Japan,None,None,None,29.405,29.714,None,None,23.827,27.525
Asia,Jordan,None,2020-03-22 00:00:00,2020-04-23 00:00:00,2.315,20.628,2020-04-24 00:00:00,2020-05-04 00:00:00,1.66,7.172
Asia,Jordan,None,None,None,2.315,20.628,None,None,1.66,7.172
