continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_rmse_cases,train_rmse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_rmse_cases,test_rmse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
North America,Canada,British Columbia,2020-03-16,2020-06-05,5.778,7.302,-1.0,-1.0,36.471,2.773,50.307,3.497,2020-06-06,2020-06-20,1.833,5.448,1.0,-1.0,50.415,9.137,457.89,32.357,51.305,786.639
North America,Canada,Manitoba,2020-03-31,2020-06-05,1.146,5.87,1.0,-1.0,2.675,0.222,3.945,0.289,2020-06-06,2020-06-20,2.542,2.567,1.0,-1.0,7.768,0.18,35.04,1.532,77.912,
North America,Canada,New Brunswick,2020-04-06,2020-06-05,2.637,99.344,1.0,1.0,3.185,0.036,3.791,0.18,2020-06-06,2020-06-20,15.072,99.461,1.0,1.0,23.718,1.526,5.748,0.18,88.864,99.875
North America,Canada,Newfoundland and Labrador,2020-03-27,2020-06-05,0.708,11.273,-1.0,-1.0,1.51,0.175,2.685,0.307,2020-06-06,2020-06-20,0.098,1.196,1.0,-1.0,0.256,0.036,35.176,0.841,,
North America,Canada,None,None,None,6.946,47.302,,,130.735,20.106,160.129,25.462,None,None,3.796,16.552,,,402.1,34.749,2101.255,192.988,62.167,204.52
North America,Canada,Nova Scotia,2020-03-28,2020-06-05,2.897,71.742,1.0,-1.0,15.097,3.694,19.373,4.512,2020-06-06,2020-06-20,0.897,9.951,-1.0,-1.0,9.509,6.155,250.008,17.456,16.306,300.713
North America,Canada,Ontario,2020-03-15,2020-06-05,17.754,113.327,-1.0,-1.0,526.964,72.975,606.215,89.722,2020-06-06,2020-06-20,6.237,3.444,1.0,-1.0,2100.77,88.943,5921.523,541.46,44.11,20.72
North America,Canada,Quebec,2020-03-19,2020-06-05,12.603,84.206,-1.0,-1.0,354.839,97.852,456.015,126.471,2020-06-06,2020-06-20,2.402,3.852,-1.0,-1.0,1295.254,201.294,10487.857,1110.62,63.519,105.161
North America,Canada,Saskatchewan,2020-03-28,2020-06-05,6.551,14.602,1.0,1.0,23.336,0.784,27.162,0.927,2020-06-06,2020-06-20,3.643,21.222,-1.0,1.0,24.24,2.728,111.865,2.0,94.786,79.467
North America,Costa Rica,None,2020-03-21,2020-06-05,8.122,13.291,1.0,-1.0,51.276,0.62,60.492,0.756,2020-06-06,2020-06-20,32.322,8.08,1.0,-1.0,560.102,0.918,163.669,2.15,89.864,30.88
North America,Cuba,None,2020-03-28,2020-06-05,2.852,10.543,1.0,-1.0,25.378,2.339,31.745,2.754,2020-06-06,2020-06-20,8.503,2.606,1.0,-1.0,191.295,2.182,455.362,20.8,86.686,20.155
North America,Dominican Republic,None,2020-03-21,2020-06-05,12.58,28.788,-1.0,-1.0,245.063,41.785,282.191,49.492,2020-06-06,2020-06-20,7.568,14.638,1.0,-1.0,1755.188,85.201,4077.278,110.313,38.299,38.55
North America,El Salvador,None,2020-04-09,2020-06-05,4.789,6.632,1.0,-1.0,18.15,1.11,21.653,1.532,2020-06-06,2020-06-20,4.539,4.464,1.0,1.0,184.149,3.11,929.857,18.325,19.657,23.58
North America,Guatemala,None,2020-04-10,2020-06-05,9.599,15.184,1.0,-1.0,99.48,6.3,126.073,11.336,2020-06-06,2020-06-20,8.578,34.179,-1.0,1.0,861.037,125.539,3489.68,83.155,22.5,42.84
North America,Haiti,None,2020-05-05,2020-06-05,6.023,9.101,-1.0,1.0,46.478,2.19,67.624,2.6,2020-06-06,2020-06-20,8.762,21.825,-1.0,-1.0,396.341,15.091,2184.682,35.087,24.47,101.899
North America,Honduras,None,2020-03-29,2020-06-05,13.342,26.602,-1.0,1.0,109.526,16.494,137.72,18.558,2020-06-06,2020-06-20,7.561,17.631,1.0,-1.0,746.418,54.954,2049.171,86.465,27.229,79.318
North America,Mexico,None,2020-03-19,2020-06-05,6.343,58.452,-1.0,-1.0,308.948,89.184,374.65,142.79,2020-06-06,2020-06-20,0.888,1.375,1.0,-1.0,1347.946,237.655,33250.466,4199.901,4.24,29.552
North America,Nicaragua,None,2020-05-19,2020-06-05,17.84,13.577,-1.0,-1.0,88.811,3.72,111.076,4.551,2020-06-06,2020-06-20,8.05,34.902,1.0,-1.0,121.43,20.045,787.987,41.608,24.957,141.44
North America,None,None,None,None,13.598,35.929,,,1049.832,63.117,1291.691,79.973,None,None,11.951,12.537,,,3341.003,139.147,6399.898,416.985,46.068,84.121
North America,Panama,None,2020-03-19,2020-06-05,5.608,22.563,-1.0,-1.0,262.283,9.936,357.127,11.705,2020-06-06,2020-06-20,19.835,1.735,1.0,1.0,4200.184,8.088,2960.355,76.294,61.034,31.755
North America,US,Alabama,2020-03-20,2020-06-05,9.238,67.415,-1.0,-1.0,232.871,18.063,272.795,23.147,2020-06-06,2020-06-20,5.815,12.977,1.0,-1.0,1557.745,100.531,4544.992,171.853,29.783,49.362
North America,US,Alaska,2020-03-28,2020-06-05,20.42,28.657,1.0,1.0,71.408,2.482,77.888,2.618,2020-06-06,2020-06-20,41.649,29.333,1.0,1.0,268.559,3.381,55.956,2.083,91.867,89.861
North America,US,Arizona,2020-03-21,2020-06-05,7.695,21.087,-1.0,-1.0,223.888,22.206,356.625,28.219,2020-06-06,2020-06-20,22.498,8.995,1.0,-1.0,8592.386,106.783,5372.812,264.648,57.882,40.152
North America,US,Arkansas,2020-03-20,2020-06-05,13.24,16.108,1.0,1.0,292.987,5.904,379.573,6.934,2020-06-06,2020-06-20,31.47,8.716,1.0,1.0,3916.891,17.144,1610.984,28.931,80.624,48.872
North America,US,California,2020-03-07,2020-06-05,59.014,132.394,-1.0,-1.0,8830.183,359.783,11379.122,455.387,2020-06-06,2020-06-20,25.43,12.838,1.0,1.0,38531.56,643.526,10773.518,451.028,43.022,12.895
North America,US,Colorado,2020-03-14,2020-06-05,11.065,42.091,-1.0,-1.0,226.25,28.068,265.011,32.56,2020-06-06,2020-06-20,1.705,2.891,1.0,-1.0,498.192,46.131,5126.691,308.804,7.276,120.289
North America,US,Connecticut,2020-03-19,2020-06-05,15.031,43.871,-1.0,-1.0,1128.704,116.76,1320.369,140.464,2020-06-06,2020-06-20,1.516,5.675,-1.0,-1.0,676.35,236.304,10000.38,994.4,35.806,19.522
North America,US,Delaware,2020-03-24,2020-06-05,3.65,7.572,-1.0,-1.0,70.34,3.718,92.937,4.782,2020-06-06,2020-06-20,1.92,0.667,-1.0,-1.0,196.343,2.776,2133.122,88.36,13.641,16.045
North America,US,District of Columbia,2020-03-23,2020-06-05,4.125,32.708,-1.0,-1.0,164.788,13.312,204.119,16.82,2020-06-06,2020-06-20,3.054,7.57,-1.0,-1.0,295.19,38.522,2102.404,123.183,3.139,10.114
North America,US,Florida,2020-03-15,2020-06-05,48.095,41.775,-1.0,-1.0,3367.371,125.304,3763.216,148.338,2020-06-06,2020-06-20,25.881,11.0,1.0,1.0,20080.989,320.513,7825.838,391.651,76.05,21.083
North America,US,Georgia,2020-03-16,2020-06-05,25.166,23.453,-1.0,-1.0,875.595,36.455,1073.764,46.083,2020-06-06,2020-06-20,8.502,3.367,1.0,1.0,4947.377,83.935,9253.823,452.953,42.417,110.94
North America,US,Hawaii,2020-03-26,2020-06-05,10.303,13.648,1.0,1.0,59.388,1.412,63.901,1.644,2020-06-06,2020-06-20,20.571,7.547,1.0,1.0,149.656,1.283,118.206,4.028,99.474,
North America,US,Idaho,2020-03-25,2020-06-05,25.963,26.634,1.0,1.0,479.624,13.361,517.423,15.202,2020-06-06,2020-06-20,35.419,23.346,1.0,1.0,1223.869,20.167,385.869,13.82,70.104,31.432
North America,US,Illinois,2020-03-16,2020-06-05,21.831,75.916,1.0,-1.0,10119.722,437.304,12881.523,564.415,2020-06-06,2020-06-20,15.887,19.168,1.0,1.0,20900.359,1199.694,13548.093,646.028,22.172,22.133
North America,US,Indiana,2020-03-21,2020-06-05,19.854,48.813,-1.0,-1.0,2575.844,170.64,3135.43,188.528,2020-06-06,2020-06-20,11.777,14.022,-1.0,-1.0,4633.511,337.454,11015.92,701.52,13.055,14.268
North America,US,Iowa,2020-03-23,2020-06-05,10.437,18.351,1.0,1.0,229.52,8.928,273.2,11.45,2020-06-06,2020-06-20,5.411,1.117,1.0,-1.0,1299.232,7.394,4763.524,141.601,38.056,21.116
North America,US,Kansas,2020-03-24,2020-06-05,15.298,23.828,1.0,1.0,373.389,20.472,431.235,24.568,2020-06-06,2020-06-20,3.319,9.715,-1.0,-1.0,363.247,23.624,2705.089,42.636,35.079,40.245
North America,US,Kentucky,2020-03-22,2020-06-05,5.148,23.79,-1.0,-1.0,135.022,13.904,176.535,16.19,2020-06-06,2020-06-20,6.146,5.989,1.0,-1.0,773.294,29.783,2334.821,100.545,34.551,53.826
North America,US,Louisiana,2020-03-15,2020-06-05,26.0,19.766,1.0,1.0,4199.828,276.66,4902.997,331.572,2020-06-06,2020-06-20,29.71,20.601,1.0,1.0,13711.942,619.877,5754.58,381.242,92.248,51.232
North America,US,Maine,2020-03-23,2020-06-05,6.256,45.332,-1.0,-1.0,38.762,4.968,43.963,5.658,2020-06-06,2020-06-20,3.27,14.939,-1.0,-1.0,91.929,15.071,517.345,21.899,29.04,471.294
North America,US,Maryland,2020-03-19,2020-06-05,13.829,108.568,-1.0,-1.0,341.39,76.586,420.881,87.991,2020-06-06,2020-06-20,1.123,5.965,-1.0,-1.0,697.666,174.495,11982.15,600.395,23.142,38.261
North America,US,Massachusetts,2020-03-12,2020-06-05,10.848,90.58,-1.0,-1.0,1580.289,100.251,1967.591,128.147,2020-06-06,2020-06-20,3.978,1.811,1.0,1.0,4183.916,137.789,18857.062,1492.961,18.903,11.954
North America,US,Michigan,2020-03-19,2020-06-05,15.572,19.457,1.0,-1.0,5352.134,230.002,7085.28,265.544,2020-06-06,2020-06-20,25.839,6.445,1.0,1.0,17035.95,386.693,11288.404,1032.364,67.94,32.828
North America,US,Minnesota,2020-03-20,2020-06-05,18.425,39.515,1.0,1.0,402.616,51.601,489.579,67.188,2020-06-06,2020-06-20,2.294,9.709,-1.0,-1.0,705.513,127.745,6622.125,276.948,25.505,42.611
North America,US,Mississippi,2020-03-21,2020-06-05,3.713,16.677,-1.0,-1.0,107.073,7.305,128.791,9.599,2020-06-06,2020-06-20,1.41,6.491,1.0,-1.0,276.014,58.456,3641.293,190.971,11.707,59.725
North America,US,Missouri,2020-03-22,2020-06-05,12.235,21.429,1.0,1.0,790.488,80.84,901.555,96.761,2020-06-06,2020-06-20,18.738,4.637,1.0,1.0,3083.08,41.314,1896.278,91.022,60.879,66.308
North America,US,Montana,2020-03-27,2020-06-05,9.459,15.933,1.0,1.0,41.221,1.614,45.821,1.795,2020-06-06,2020-06-20,25.723,16.75,1.0,1.0,156.008,3.168,70.648,3.186,98.311,91.087
North America,US,Nebraska,2020-03-27,2020-06-05,13.675,28.542,1.0,1.0,537.607,8.449,698.361,10.137,2020-06-06,2020-06-20,10.317,9.708,1.0,1.0,1717.238,21.916,2961.288,34.876,13.933,119.879
North America,US,Nevada,2020-03-20,2020-06-05,7.878,27.21,-1.0,-1.0,159.281,10.216,190.735,12.369,2020-06-06,2020-06-20,14.139,2.997,1.0,-1.0,1610.427,13.862,1573.566,87.987,60.6,90.299
North America,US,New Hampshire,2020-03-23,2020-06-05,4.353,18.614,-1.0,-1.0,33.621,4.62,42.183,5.948,2020-06-06,2020-06-20,0.63,8.137,-1.0,-1.0,33.239,25.797,1014.308,74.834,24.038,61.994
North America,US,New Jersey,2020-03-16,2020-06-05,20.762,47.831,-1.0,-1.0,3503.505,273.573,4051.112,316.293,2020-06-06,2020-06-20,0.749,1.739,-1.0,-1.0,1238.385,215.604,36649.614,2799.666,42.248,31.155
North America,US,New Mexico,2020-03-24,2020-06-05,4.261,28.376,-1.0,-1.0,52.877,6.309,71.92,7.677,2020-06-06,2020-06-20,5.617,2.306,1.0,-1.0,545.727,9.766,1828.118,94.299,23.747,16.145
North America,US,New York,2020-03-08,2020-06-05,13.932,54.121,-1.0,-1.0,3948.64,498.503,5014.058,759.555,2020-06-06,2020-06-20,1.827,1.42,1.0,1.0,7004.972,437.433,78767.181,5934.938,69.337,48.159
North America,US,None,None,None,15.731,36.952,,,1393.259,79.677,1713.859,100.448,None,None,13.643,11.513,,,4311.514,174.014,7426.138,446.627,44.753,73.29
North America,US,North Carolina,2020-03-19,2020-06-05,38.743,120.604,-1.0,-1.0,3487.089,105.639,4420.98,143.546,2020-06-06,2020-06-20,21.651,55.957,-1.0,-1.0,9093.604,633.2,14925.533,500.526,6.419,221.543
North America,US,North Dakota,2020-03-30,2020-06-05,6.115,7.956,-1.0,-1.0,78.093,1.836,106.479,2.733,2020-06-06,2020-06-20,5.892,13.83,-1.0,-1.0,178.249,10.251,759.59,20.102,16.689,248.534
North America,US,Ohio,2020-03-19,2020-06-05,6.409,11.384,-1.0,-1.0,465.407,19.276,661.244,25.233,2020-06-06,2020-06-20,7.394,0.665,1.0,-1.0,3061.817,16.739,7107.645,497.686,33.278,37.365
North America,US,Oklahoma,2020-03-24,2020-06-05,5.658,17.672,-1.0,-1.0,61.359,13.714,80.477,16.216,2020-06-06,2020-06-20,8.264,12.213,1.0,-1.0,737.602,43.924,1391.362,72.808,40.959,138.548
North America,US,Oregon,2020-03-20,2020-06-05,3.759,12.84,-1.0,-1.0,40.969,4.929,50.629,5.725,2020-06-06,2020-06-20,14.368,2.431,1.0,-1.0,849.592,4.127,845.032,32.534,68.329,28.739
North America,US,Pennsylvania,2020-03-17,2020-06-05,34.445,81.563,-1.0,-1.0,4302.226,346.977,4935.941,421.737,2020-06-06,2020-06-20,3.694,17.385,-1.0,-1.0,3027.255,1074.797,20431.299,1776.284,51.583,103.577
North America,US,Rhode Island,2020-03-23,2020-06-05,12.303,10.081,-1.0,-1.0,164.462,11.495,206.705,15.057,2020-06-06,2020-06-20,1.783,3.38,1.0,1.0,286.085,28.764,3347.1,167.149,17.396,12.002
North America,US,South Carolina,2020-03-20,2020-06-05,11.622,17.922,1.0,1.0,443.075,24.427,535.732,29.785,2020-06-06,2020-06-20,29.789,6.947,1.0,-1.0,5708.314,41.218,2291.007,114.21,86.14,30.994
North America,US,South Dakota,2020-03-30,2020-06-05,10.353,17.484,-1.0,-1.0,92.009,2.178,112.89,2.743,2020-06-06,2020-06-20,2.254,4.303,1.0,-1.0,134.979,3.071,1209.243,17.66,32.139,36.821
North America,US,Tennessee,2020-03-19,2020-06-05,4.187,45.772,-1.0,-1.0,297.982,14.145,387.644,17.235,2020-06-06,2020-06-20,6.87,2.257,1.0,1.0,2133.847,10.933,5055.821,77.54,27.834,21.31
North America,US,Texas,2020-03-17,2020-06-05,21.089,56.205,-1.0,-1.0,1742.655,53.071,2054.681,69.142,2020-06-06,2020-06-20,5.941,12.162,1.0,-1.0,5824.355,241.359,17209.597,466.492,34.997,67.284
North America,US,Utah,2020-03-20,2020-06-05,14.57,21.222,1.0,1.0,693.204,7.191,840.881,9.409,2020-06-06,2020-06-20,25.593,11.157,1.0,1.0,3652.426,15.489,1223.664,16.438,55.393,43.128
North America,US,Vermont,2020-03-24,2020-06-05,25.553,22.844,1.0,1.0,204.283,9.739,218.233,10.782,2020-06-06,2020-06-20,36.181,23.593,1.0,1.0,402.331,13.025,213.159,10.275,98.519,68.846
North America,US,Virginia,2020-03-20,2020-06-05,14.604,26.148,-1.0,-1.0,1467.546,45.399,1809.924,67.224,2020-06-06,2020-06-20,10.147,24.653,-1.0,-1.0,5502.118,381.014,13567.748,427.167,32.575,207.185
North America,US,Washington,2020-03-07,2020-06-05,52.304,46.137,1.0,1.0,6263.408,329.379,7428.004,399.733,2020-06-06,2020-06-20,58.314,53.864,1.0,1.0,14938.247,649.822,6251.215,340.861,81.659,48.571
North America,US,West Virginia,2020-03-28,2020-06-05,16.775,41.999,1.0,-1.0,180.292,7.143,203.16,7.987,2020-06-06,2020-06-20,18.456,11.337,1.0,1.0,423.257,9.799,217.413,13.467,24.363,109.34
North America,US,Wisconsin,2020-03-18,2020-06-05,7.584,33.018,-1.0,-1.0,471.217,36.103,572.518,43.381,2020-06-06,2020-06-20,12.219,27.11,-1.0,-1.0,2790.283,188.324,5460.134,177.638,76.846,151.601
North America,US,Wyoming,2020-03-31,2020-06-05,9.432,23.64,1.0,1.0,54.698,1.325,61.215,1.621,2020-06-06,2020-06-20,13.664,5.325,1.0,1.0,146.099,0.95,130.459,3.472,41.713,134.018
Oceania,Australia,Australian Capital Territory,2020-04-09,2020-06-05,0.317,2.959,1.0,-1.0,0.331,0.069,0.574,0.155,2020-06-06,2020-06-20,0.817,0.326,1.0,-1.0,0.883,0.01,1.665,0.311,99.086,
Oceania,Australia,New South Wales,2020-03-14,2020-06-05,7.887,10.01,-1.0,1.0,65.829,1.612,113.713,2.056,2020-06-06,2020-06-20,1.077,5.974,1.0,-1.0,33.728,2.868,781.355,9.923,97.112,
Oceania,Australia,None,None,None,2.803,7.448,,,21.612,0.567,31.849,0.79,None,None,2.402,2.595,,,30.969,0.545,216.478,3.306,96.563,
Oceania,Australia,Queensland,2020-03-19,2020-06-05,1.126,7.606,1.0,-1.0,8.272,0.309,10.315,0.391,2020-06-06,2020-06-20,1.075,4.276,1.0,-1.0,11.44,0.257,218.353,1.687,98.926,
Oceania,Australia,South Australia,2020-03-22,2020-06-05,1.572,8.152,-1.0,1.0,4.626,0.429,8.623,0.706,2020-06-06,2020-06-20,0.114,2.789,-1.0,-1.0,0.501,0.112,73.24,1.457,,
Oceania,Australia,Tasmania,2020-04-09,2020-06-05,0.714,5.525,1.0,-1.0,1.292,0.495,2.102,0.734,2020-06-06,2020-06-20,0.167,1.949,-1.0,-1.0,0.381,0.253,30.019,2.961,,
Oceania,Australia,Victoria,2020-03-18,2020-06-05,5.842,8.184,1.0,-1.0,60.939,0.725,75.556,0.996,2020-06-06,2020-06-20,7.696,0.581,1.0,-1.0,134.536,0.11,305.432,4.706,88.253,
Oceania,Australia,Western Australia,2020-03-22,2020-06-05,2.164,9.701,1.0,-1.0,9.993,0.33,12.061,0.489,2020-06-06,2020-06-20,5.869,2.273,1.0,-1.0,35.312,0.205,105.281,2.099,99.436,
Oceania,New Zealand,None,2020-03-22,2020-06-05,2.264,73.283,-1.0,-1.0,15.729,1.648,24.217,2.285,2020-06-06,2020-06-20,0.158,4.506,-1.0,-1.0,2.374,0.991,363.419,6.598,93.995,
Oceania,None,None,None,None,2.736,15.678,,,20.876,0.702,30.895,0.977,None,None,2.122,2.834,,,27.394,0.601,234.845,3.718,96.135,
South America,Argentina,None,2020-03-20,2020-06-05,12.252,26.826,1.0,1.0,404.828,41.322,476.88,50.201,2020-06-06,2020-06-20,5.933,24.634,1.0,-1.0,1929.816,206.414,7072.056,247.043,10.477,65.242
South America,Bolivia,None,2020-03-31,2020-06-05,7.46,16.227,-1.0,1.0,84.269,14.054,109.739,16.727,2020-06-06,2020-06-20,12.802,22.201,-1.0,-1.0,2434.448,137.736,6192.181,218.739,47.156,61.651
South America,Brazil,None,2020-03-13,2020-06-05,13.892,91.675,-1.0,-1.0,2843.643,687.795,4545.52,974.492,2020-06-06,2020-06-20,2.429,22.92,-1.0,-1.0,22296.056,10087.508,209542.56,12619.284,16.63,99.982
South America,Chile,None,2020-03-16,2020-06-05,14.211,29.671,1.0,-1.0,1353.253,25.492,1622.778,32.469,2020-06-06,2020-06-20,8.458,27.752,-1.0,1.0,14664.92,884.531,49822.001,557.386,25.127,51.596
South America,Colombia,None,2020-03-19,2020-06-05,4.493,29.92,1.0,-1.0,193.898,36.551,348.444,45.035,2020-06-06,2020-06-20,1.643,1.736,1.0,-1.0,814.933,26.911,11519.327,396.847,22.808,11.327
South America,Ecuador,None,2020-03-18,2020-06-05,21.103,25.683,1.0,1.0,1598.414,106.805,2139.631,134.545,2020-06-06,2020-06-20,11.736,4.895,1.0,-1.0,5512.133,187.479,8895.967,856.212,81.508,13.426
South America,Guyana,None,2020-05-10,2020-06-05,1.837,4.708,-1.0,1.0,2.483,0.528,3.186,0.668,2020-06-06,2020-06-20,5.146,7.278,-1.0,1.0,8.263,0.873,28.228,0.713,115.691,
South America,None,None,None,None,11.392,30.191,,,675.195,80.971,939.825,110.402,None,None,6.675,15.278,,,4958.602,977.002,28884.235,1366.452,52.084,56.783
South America,Paraguay,None,2020-04-05,2020-06-05,11.287,24.47,-1.0,1.0,41.329,2.117,55.146,2.421,2020-06-06,2020-06-20,12.371,18.623,1.0,-1.0,157.227,2.124,265.594,1.711,73.523,37.437
South America,Peru,None,2020-03-17,2020-06-05,30.925,40.104,-1.0,-1.0,1513.573,51.62,1892.505,61.902,2020-06-06,2020-06-20,4.904,2.895,-1.0,-1.0,11315.14,177.393,52178.225,1482.511,32.447,9.967
South America,Trinidad and Tobago,None,2020-04-04,2020-06-05,0.345,0.811,-1.0,1.0,0.392,0.064,0.506,0.153,2020-06-06,2020-06-20,2.865,0.174,1.0,-1.0,3.505,0.014,3.189,0.275,99.964,
South America,Uruguay,None,2020-03-21,2020-06-05,2.91,19.063,1.0,-1.0,12.534,0.786,16.127,1.005,2020-06-06,2020-06-20,0.804,5.775,1.0,-1.0,6.817,1.346,122.212,4.992,60.049,59.322
South America,Venezuela,None,2020-03-26,2020-06-05,15.988,53.137,1.0,1.0,53.724,4.512,67.432,5.209,2020-06-06,2020-06-20,11.007,44.459,-1.0,-1.0,359.965,11.693,969.28,11.708,39.628,157.882
