continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_rmse_cases,train_rmse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_rmse_cases,test_rmse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
Asia,Philippines,None,2020-03-14,2020-06-05,25.535,17.926,-1.0,-1.0,550.891,50.963,697.371,61.953,2020-06-06,2020-06-20,18.787,14.914,1.0,-1.0,4835.661,159.479,3665.089,198.661,59.436,69.905
Asia,Qatar,None,2020-03-11,2020-06-05,20.275,35.839,-1.0,1.0,449.078,2.637,542.982,3.301,2020-06-06,2020-06-20,7.458,19.814,-1.0,1.0,5988.058,14.843,18085.744,13.171,35.895,41.503
Asia,Russia,None,2020-03-17,2020-06-05,4.085,16.93,1.0,1.0,1754.737,79.509,2502.928,106.506,2020-06-06,2020-06-20,5.259,10.06,1.0,1.0,28162.565,707.72,103992.555,1347.73,31.884,33.184
Asia,Saudi Arabia,None,2020-03-14,2020-06-05,9.109,26.213,1.0,1.0,644.208,21.365,862.109,26.518,2020-06-06,2020-06-20,9.742,26.003,1.0,1.0,13255.014,257.885,23266.438,136.504,44.134,65.362
Asia,Singapore,None,2020-02-29,2020-06-05,29.941,39.18,-1.0,1.0,685.764,2.759,1213.052,3.41,2020-06-06,2020-06-20,3.199,23.661,1.0,-1.0,1287.543,6.05,7520.098,4.154,16.985,66.596
Asia,Sri Lanka,None,2020-03-24,2020-06-05,15.531,37.64,-1.0,1.0,69.463,2.418,82.134,2.854,2020-06-06,2020-06-20,4.405,42.757,-1.0,-1.0,83.817,4.703,406.459,3.154,159.767,
Asia,Tajikistan,None,2020-05-03,2020-06-05,10.744,23.951,-1.0,1.0,116.698,7.358,168.429,8.627,2020-06-06,2020-06-20,0.77,32.475,1.0,-1.0,39.989,16.127,1950.3,19.505,6.005,366.368
Asia,Thailand,None,2020-03-15,2020-06-05,2.267,32.597,-1.0,-1.0,25.175,1.795,32.515,2.638,2020-06-06,2020-06-20,2.394,0.42,1.0,1.0,74.975,0.244,708.517,14.766,96.501,
Asia,Turkey,None,2020-03-19,2020-06-05,10.987,7.429,-1.0,-1.0,2271.247,40.339,2580.425,46.668,2020-06-06,2020-06-20,6.746,3.076,1.0,1.0,12100.377,148.248,35765.352,1007.942,78.465,57.137
Asia,United Arab Emirates,None,2020-03-18,2020-06-05,23.557,21.352,-1.0,-1.0,410.214,14.381,488.642,21.03,2020-06-06,2020-06-20,1.763,30.931,-1.0,-1.0,760.009,89.699,8571.326,73.738,18.514,305.422
Asia,Uzbekistan,None,2020-03-28,2020-06-05,10.584,9.988,-1.0,-1.0,147.49,0.53,181.247,0.628,2020-06-06,2020-06-20,23.728,13.495,1.0,1.0,1248.15,2.524,742.271,3.064,83.837,72.804
Asia,Vietnam,None,2020-03-22,2020-06-05,5.227,,1.0,,13.411,0.005,15.894,0.006,2020-06-06,2020-06-20,2.909,,1.0,,9.845,0.011,36.913,0.007,67.118,
Asia,Yemen,None,2020-05-15,2020-06-05,7.593,6.107,-1.0,1.0,20.892,2.568,25.011,3.104,2020-06-06,2020-06-20,26.841,15.784,1.0,1.0,212.482,35.207,206.149,71.432,56.826,198.021
Europe,Albania,None,2020-03-23,2020-06-05,4.141,14.84,-1.0,1.0,24.223,3.529,28.886,4.132,2020-06-06,2020-06-20,20.579,7.569,1.0,-1.0,331.842,2.719,207.026,4.551,77.898,48.663
Europe,Andorra,None,2020-03-22,2020-06-05,2.076,12.308,-1.0,-1.0,12.853,0.961,19.789,1.221,2020-06-06,2020-06-20,8.906,0.904,1.0,-1.0,75.98,0.463,154.743,11.355,81.639,69.454
Europe,Austria,None,2020-03-08,2020-06-05,14.137,82.464,-1.0,-1.0,406.878,20.717,546.846,27.401,2020-06-06,2020-06-20,5.048,1.021,1.0,-1.0,863.715,6.89,3888.178,152.184,97.178,81.75
Europe,Belarus,None,2020-03-30,2020-06-05,14.544,21.395,-1.0,1.0,299.128,8.837,404.947,10.509,2020-06-06,2020-06-20,3.086,2.488,1.0,1.0,1670.067,7.908,11614.349,60.9,18.527,23.748
Europe,Belgium,None,2020-03-06,2020-06-05,6.255,91.562,1.0,-1.0,421.753,188.179,570.137,260.054,2020-06-06,2020-06-20,3.721,1.058,1.0,-1.0,2230.222,102.072,11755.069,2098.304,75.482,10.602
Europe,Bosnia and Herzegovina,None,2020-03-22,2020-06-05,3.376,11.824,-1.0,1.0,25.308,5.134,31.06,6.219,2020-06-06,2020-06-20,9.653,8.16,1.0,-1.0,295.246,13.4,493.091,34.103,79.868,219.635
Europe,Bulgaria,None,2020-03-20,2020-06-05,6.013,12.504,1.0,-1.0,44.353,1.936,53.452,2.409,2020-06-06,2020-06-20,13.231,7.085,1.0,1.0,456.665,12.719,509.446,30.479,77.608,36.997
Europe,Croatia,None,2020-03-19,2020-06-05,1.71,24.687,1.0,-1.0,15.745,3.638,20.375,4.4,2020-06-06,2020-06-20,0.35,4.92,1.0,-1.0,7.99,5.229,482.376,24.264,50.752,26.522
