continent,country,province,train_start_date,train_end_date,train_mape_cases,train_mape_deaths,train_sign_mpe_cases,train_sign_mpe_deaths,train_mae_cases,train_mae_deaths,train_mse_cases,train_mse_deaths,test_start_date,test_end_date,test_mape_cases,test_mape_deaths,test_sign_mpe_cases,test_sign_mpe_deaths,test_mae_cases,test_mae_deaths,test_mse_cases,test_mse_deaths,mape_daily_delta_cases,mape_daily_delta_deaths
Europe,Montenegro,None,2020-03-31 00:00:00,2020-04-23 00:00:00,2.536032083677551,21.549,-1.0,-1.0,4.912,0.516,51.833,0.442,2020-04-24 00:00:00,2020-05-08 00:00:00,4.391,20.825,-1.0,1.0,14.162,1.549,225.395,2.546,137.341,69.205
Europe,Netherlands,None,2020-03-06 00:00:00,2020-04-23 00:00:00,4.485936843812394,104.267,-1.0,-1.0,207.422,68.788,70910.054,7376.124,2020-04-24 00:00:00,2020-05-08 00:00:00,2.036,2.775,-1.0,-1.0,824.548,137.36,923553.156,22159.778,20.226,16.961
Europe,None,None,None,None,9.511557564299704,75.016,None,None,374.489,59.844,1544061.504,35697.833,None,None,5.379,11.335,None,None,1866.614,254.949,35364759.575,809100.805,112.816,58.871
Europe,North Macedonia,None,2020-03-22 00:00:00,2020-04-23 00:00:00,4.847456683883772,32.176,1.0,-1.0,25.006,2.124,804.163,6.666,2020-04-24 00:00:00,2020-05-08 00:00:00,1.079,11.484,-1.0,1.0,15.951,9.377,342.593,115.965,6.515,47.846
Europe,Norway,None,2020-03-06 00:00:00,2020-04-23 00:00:00,5.641495063528177,68.617,1.0,-1.0,105.314,10.515,15086.072,183.246,2020-04-24 00:00:00,2020-05-08 00:00:00,0.664,3.737,1.0,-1.0,52.342,7.824,4885.742,78.436,16.626,82.529
Europe,Poland,None,2020-03-14 00:00:00,2020-04-23 00:00:00,6.852889956338691,35.464,-1.0,-1.0,91.902,10.122,11043.41,155.728,2020-04-24 00:00:00,2020-05-08 00:00:00,2.315,3.241,1.0,-1.0,326.047,21.73,177240.361,637.68,13.121,13.583
Europe,Portugal,None,2020-03-13 00:00:00,2020-04-23 00:00:00,5.724028735458997,42.144,-1.0,-1.0,184.895,4.831,46675.201,40.731,2020-04-24 00:00:00,2020-05-08 00:00:00,2.436,2.87,1.0,1.0,617.426,29.149,480027.656,915.367,16.207,15.584
Europe,Romania,None,2020-03-14 00:00:00,2020-04-23 00:00:00,5.288676235524754,41.382,-1.0,-1.0,63.625,8.497,6482.593,115.031,2020-04-24 00:00:00,2020-05-08 00:00:00,6.071,7.72,1.0,1.0,808.332,62.0,926217.132,5554.8,21.965,26.881
Europe,San Marino,None,2020-03-15 00:00:00,2020-04-23 00:00:00,6.2585517838595175,12.47,1.0,1.0,15.616,3.112,368.396,13.58,2020-04-24 00:00:00,2020-05-08 00:00:00,4.313,25.448,1.0,-1.0,24.781,10.412,669.987,115.946,16.549,580.259
Europe,Serbia,None,2020-03-19 00:00:00,2020-04-23 00:00:00,4.764174805047604,60.802,-1.0,-1.0,76.985,6.446,10325.263,72.743,2020-04-24 00:00:00,2020-05-08 00:00:00,4.913,9.94,-1.0,-1.0,452.668,18.023,248027.65,334.338,17.931,15.107
Europe,Slovakia,None,2020-03-18 00:00:00,2020-04-23 00:00:00,10.912547043736783,107.59,1.0,-1.0,39.513,2.134,2099.863,6.036,2020-04-24 00:00:00,2020-05-08 00:00:00,12.683,22.091,-1.0,1.0,179.685,4.898,42966.828,24.883,231.011,33.719
Europe,Slovenia,None,2020-03-13 00:00:00,2020-04-23 00:00:00,3.774950603288137,85.64,1.0,-1.0,14.507,4.604,456.525,32.625,2020-04-24 00:00:00,2020-05-08 00:00:00,0.403,1.438,1.0,1.0,5.776,1.329,46.026,2.35,16.308,27.184
Europe,Spain,None,2020-03-02 00:00:00,2020-04-23 00:00:00,62.67705534600883,236.91,-1.0,-1.0,3908.863,515.133,25821830.341,425441.445,2020-04-24 00:00:00,2020-05-08 00:00:00,7.638,2.014,-1.0,-1.0,16417.502,493.796,276839465.962,249560.614,1252.47,4.257
Europe,Sweden,None,2020-03-06 00:00:00,2020-04-23 00:00:00,9.841059274015677,228.686,1.0,-1.0,151.149,62.139,36839.557,5948.36,2020-04-24 00:00:00,2020-05-08 00:00:00,5.006,4.712,1.0,-1.0,1106.834,128.629,1484743.292,25315.952,19.705,37.49
Europe,Switzerland,None,2020-03-05 00:00:00,2020-04-23 00:00:00,14.435698832784794,56.201,-1.0,-1.0,337.179,29.768,218641.248,1531.313,2020-04-24 00:00:00,2020-05-08 00:00:00,1.112,6.488,-1.0,-1.0,328.845,114.29,109200.093,16781.44,3.426,49.195
Europe,Ukraine,None,2020-03-25 00:00:00,2020-04-23 00:00:00,4.864688781515468,11.12,1.0,-1.0,71.838,3.936,7172.991,23.105,2020-04-24 00:00:00,2020-05-08 00:00:00,1.335,11.205,1.0,-1.0,154.663,31.123,36165.033,1085.673,2.68,37.764
